Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Tuberculosis","2023","Windham County, VT","50025","Data suppressed","Data suppressed"
"Tuberculosis","2023","Windham County, CT","09015","Data suppressed","Data not available"
"Tuberculosis","2023","Winchester City, VA","51840","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilson County, TX","48493","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilson County, TN","47189","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilson County, NC","37195","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilson County, KS","20205","Data suppressed","Data suppressed"
"Tuberculosis","2023","Williamson County, TX","48491","16","2.3"
"Tuberculosis","2023","Williamson County, TN","47187","Data suppressed","Data suppressed"
"Tuberculosis","2023","Williamson County, IL","17199","Data suppressed","Data suppressed"
"Tuberculosis","2023","Williamsburg County, SC","45089","Data suppressed","Data suppressed"
"Tuberculosis","2023","Williamsburg City, VA","51830","Data suppressed","Data suppressed"
"Tuberculosis","2023","Williams County, OH","39171","Data suppressed","Data suppressed"
"Tuberculosis","2023","Williams County, ND","38105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Willacy County, TX","48489","Data suppressed","Data suppressed"
"Tuberculosis","2023","Will County, IL","17197","15","2.1"
"Tuberculosis","2023","Wilkinson County, MS","28157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilkinson County, GA","13319","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilkin County, MN","27167","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilkes County, NC","37193","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilkes County, GA","13317","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilcox County, GA","13315","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilcox County, AL","01131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wilbarger County, TX","48487","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wicomico County, MD","24045","5","4.8"
"Tuberculosis","2023","Wichita County, TX","48485","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wichita County, KS","20203","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wibaux County, MT","30109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Whitman County, WA","53075","Data suppressed","Data suppressed"
"Tuberculosis","2023","Whitley County, KY","21235","Data suppressed","Data suppressed"
"Tuberculosis","2023","Whitley County, IN","18183","Data suppressed","Data suppressed"
"Tuberculosis","2023","Whitfield County, GA","13313","Data suppressed","Data suppressed"
"Tuberculosis","2023","Whiteside County, IL","17195","Data suppressed","Data suppressed"
"Tuberculosis","2023","White Pine County, NV","32033","Data suppressed","Data suppressed"
"Tuberculosis","2023","White County, TN","47185","Data suppressed","Data suppressed"
"Tuberculosis","2023","White County, IN","18181","Data suppressed","Data suppressed"
"Tuberculosis","2023","White County, IL","17193","Data suppressed","Data suppressed"
"Tuberculosis","2023","White County, GA","13311","Data suppressed","Data suppressed"
"Tuberculosis","2023","White County, AR","05145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wheeler County, TX","48483","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wheeler County, OR","41069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wheeler County, NE","31183","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wheeler County, GA","13309","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wheatland County, MT","30107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Whatcom County, WA","53073","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wharton County, TX","48481","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wexford County, MI","26165","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wetzel County, WV","54103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Weston County, WY","56045","Data suppressed","Data suppressed"
"Tuberculosis","2023","Westmoreland County, VA","51193","Data suppressed","Data suppressed"
"Tuberculosis","2023","Westmoreland County, PA","42129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Western Connecticut Planning Region, CT","09190","20","3.2"
"Tuberculosis","2023","Westchester County, NY","36119","35","3.5"
"Tuberculosis","2023","West Feliciana Parish, LA","22125","Data suppressed","Data suppressed"
"Tuberculosis","2023","West Carroll Parish, LA","22123","Data suppressed","Data suppressed"
"Tuberculosis","2023","West Baton Rouge Parish, LA","22121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wells County, ND","38103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wells County, IN","18179","Data suppressed","Data suppressed"
"Tuberculosis","2023","Weld County, CO","08123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster Parish, LA","22119","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, WV","54101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, NE","31181","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, MS","28155","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, MO","29225","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, KY","21233","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, IA","19187","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webster County, GA","13307","Data suppressed","Data suppressed"
"Tuberculosis","2023","Weber County, UT","49057","Data suppressed","Data suppressed"
"Tuberculosis","2023","Webb County, TX","48479","42","15.6"
"Tuberculosis","2023","Weakley County, TN","47183","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waynesboro City, VA","51820","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, WV","54099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, UT","49055","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, TN","47181","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, PA","42127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, OH","39169","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, NY","36117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, NE","31179","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, NC","37191","9","7.6"
"Tuberculosis","2023","Wayne County, MS","28153","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, MO","29223","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, MI","26163","43","2.5"
"Tuberculosis","2023","Wayne County, KY","21231","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, IN","18177","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, IL","17191","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, IA","19185","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wayne County, GA","13305","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waushara County, WI","55137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waupaca County, WI","55135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waukesha County, WI","55133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Watonwan County, MN","27165","Data suppressed","Data suppressed"
"Tuberculosis","2023","Watauga County, NC","37189","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washtenaw County, MI","26161","10","2.7"
"Tuberculosis","2023","Washoe County, NV","32031","9","1.8"
"Tuberculosis","2023","Washita County, OK","40149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington Parish, LA","22117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, WI","55131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, VT","50023","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, VA","51191","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, UT","49053","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, TX","48477","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, TN","47179","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, RI","44009","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, PA","42125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, OR","41067","11","1.8"
"Tuberculosis","2023","Washington County, OK","40147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, OH","39167","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, NY","36115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, NE","31177","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, NC","37187","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, MS","28151","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, MO","29221","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, MN","27163","5","1.8"
"Tuberculosis","2023","Washington County, ME","23029","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, MD","24043","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, KY","21229","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, KS","20201","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, IN","18175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, IL","17189","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, ID","16087","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, IA","19183","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, GA","13303","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, FL","12133","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, CO","08121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washington County, AR","05143","14","5.4"
"Tuberculosis","2023","Washington County, AL","01129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washburn County, WI","55129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Washakie County, WY","56043","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waseca County, MN","27161","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wasco County, OR","41065","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wasatch County, UT","49051","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warrick County, IN","18173","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, VA","51187","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, TN","47177","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, PA","42123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, OH","39165","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, NY","36113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, NJ","34041","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, NC","37185","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, MS","28149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, MO","29219","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, KY","21227","5","3.5"
"Tuberculosis","2023","Warren County, IN","18171","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, IL","17187","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, IA","19181","Data suppressed","Data suppressed"
"Tuberculosis","2023","Warren County, GA","13301","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ware County, GA","13299","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ward County, TX","48475","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ward County, ND","38101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wapello County, IA","19179","11","31.3"
"Tuberculosis","2023","Walworth County, WI","55127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walworth County, SD","46129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walton County, GA","13297","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walton County, FL","12131","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walthall County, MS","28147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walsh County, ND","38099","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wallowa County, OR","41063","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waller County, TX","48473","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wallace County, KS","20199","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walla Walla County, WA","53071","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walker County, TX","48471","16","19.7"
"Tuberculosis","2023","Walker County, GA","13295","Data suppressed","Data suppressed"
"Tuberculosis","2023","Walker County, AL","01127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Waldo County, ME","23027","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wakulla County, FL","12129","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wake County, NC","37183","25","2.1"
"Tuberculosis","2023","Wahkiakum County, WA","53069","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wagoner County, OK","40145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wadena County, MN","27159","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wabaunsee County, KS","20197","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wabasha County, MN","27157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wabash County, IN","18169","Data suppressed","Data suppressed"
"Tuberculosis","2023","Wabash County, IL","17185","Data suppressed","Data suppressed"
"Tuberculosis","2023","Volusia County, FL","12127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Virginia Beach City, VA","51810","10","2.2"
"Tuberculosis","2023","Vinton County, OH","39163","Data suppressed","Data suppressed"
"Tuberculosis","2023","Villalba Municipio, PR","72149","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vilas County, WI","55125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vigo County, IN","18167","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vieques Municipio, PR","72147","Data suppressed","Data suppressed"
"Tuberculosis","2023","Victoria County, TX","48469","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vernon Parish, LA","22115","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vernon County, WI","55123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vernon County, MO","29217","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vermillion County, IN","18165","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vermilion Parish, LA","22113","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vermilion County, IL","17183","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ventura County, CA","06111","32","3.9"
"Tuberculosis","2023","Venango County, PA","42121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vega Baja Municipio, PR","72145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vega Alta Municipio, PR","72143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Vanderburgh County, IN","18163","11","6.1"
"Tuberculosis","2023","Vance County, NC","37181","Data suppressed","Data suppressed"
"Tuberculosis","2023","Van Zandt County, TX","48467","Data suppressed","Data suppressed"
"Tuberculosis","2023","Van Wert County, OH","39161","Data suppressed","Data suppressed"
"Tuberculosis","2023","Van Buren County, TN","47175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Van Buren County, MI","26159","Data suppressed","Data suppressed"
"Tuberculosis","2023","Van Buren County, IA","19177","Data suppressed","Data suppressed"
"Tuberculosis","2023","Van Buren County, AR","05141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Valley County, NE","31175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Valley County, MT","30105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Valley County, ID","16085","Data suppressed","Data suppressed"
"Tuberculosis","2023","Valencia County, NM","35061","Data suppressed","Data suppressed"
"Tuberculosis","2023","Valdez-Cordova Census Area, AK","02261","Data not available","Data not available"
"Tuberculosis","2023","Val Verde County, TX","48465","5","10.5"
"Tuberculosis","2023","Uvalde County, TX","48463","Data suppressed","Data suppressed"
"Tuberculosis","2023","Utuado Municipio, PR","72141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Utah County, UT","49049","6","0.8"
"Tuberculosis","2023","Upton County, TX","48461","Data suppressed","Data suppressed"
"Tuberculosis","2023","Upson County, GA","13293","Data suppressed","Data suppressed"
"Tuberculosis","2023","Upshur County, WV","54097","Data suppressed","Data suppressed"
"Tuberculosis","2023","Upshur County, TX","48459","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union Parish, LA","22111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, TN","47173","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, SD","46127","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, SC","45087","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, PA","42119","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, OR","41061","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, OH","39159","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, NM","35059","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, NJ","34039","29","5.1"
"Tuberculosis","2023","Union County, NC","37179","6","2.3"
"Tuberculosis","2023","Union County, MS","28145","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, KY","21225","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, IN","18161","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, IL","17181","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, IA","19175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, GA","13291","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, FL","12125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Union County, AR","05139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Unicoi County, TN","47171","Data suppressed","Data suppressed"
"Tuberculosis","2023","Umatilla County, OR","41059","Data suppressed","Data suppressed"
"Tuberculosis","2023","Ulster County, NY","36111","Data suppressed","Data suppressed"
"Tuberculosis","2023","Uintah County, UT","49047","Data suppressed","Data suppressed"
"Tuberculosis","2023","Uinta County, WY","56041","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tyrrell County, NC","37177","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tyler County, WV","54095","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tyler County, TX","48457","Data suppressed","Data suppressed"
"Tuberculosis","2023","Twin Falls County, ID","16083","Data suppressed","Data suppressed"
"Tuberculosis","2023","Twiggs County, GA","13289","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tuscola County, MI","26157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tuscarawas County, OH","39157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tuscaloosa County, AL","01125","5","2.1"
"Tuberculosis","2023","Turner County, SD","46125","Data suppressed","Data suppressed"
"Tuberculosis","2023","Turner County, GA","13287","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tuolumne County, CA","06109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tunica County, MS","28143","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tulsa County, OK","40143","11","1.6"
"Tuberculosis","2023","Tulare County, CA","06107","16","3.3"
"Tuberculosis","2023","Tucker County, WV","54093","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trumbull County, OH","39155","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trujillo Alto Municipio, PR","72139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trousdale County, TN","47169","Data suppressed","Data suppressed"
"Tuberculosis","2023","Troup County, GA","13285","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tripp County, SD","46123","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trinity County, TX","48455","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trinity County, CA","06105","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trimble County, KY","21223","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trigg County, KY","21221","Data suppressed","Data suppressed"
"Tuberculosis","2023","Treutlen County, GA","13283","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trempealeau County, WI","55121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Trego County, KS","20195","Data suppressed","Data suppressed"
"Tuberculosis","2023","Treasure County, MT","30103","Data suppressed","Data suppressed"
"Tuberculosis","2023","Travis County, TX","48453","50","3.7"
"Tuberculosis","2023","Traverse County, MN","27155","Data suppressed","Data suppressed"
"Tuberculosis","2023","Transylvania County, NC","37175","Data suppressed","Data suppressed"
"Tuberculosis","2023","Traill County, ND","38097","Data suppressed","Data suppressed"
"Tuberculosis","2023","Towns County, GA","13281","Data suppressed","Data suppressed"
"Tuberculosis","2023","Towner County, ND","38095","Data suppressed","Data suppressed"
"Tuberculosis","2023","Torrance County, NM","35057","Data suppressed","Data suppressed"
"Tuberculosis","2023","Toombs County, GA","13279","Data suppressed","Data suppressed"
"Tuberculosis","2023","Toole County, MT","30101","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tooele County, UT","49045","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tompkins County, NY","36109","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tom Green County, TX","48451","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tolland County, CT","09013","Data suppressed","Data not available"
"Tuberculosis","2023","Todd County, SD","46121","Data suppressed","Data suppressed"
"Tuberculosis","2023","Todd County, MN","27153","Data suppressed","Data suppressed"
"Tuberculosis","2023","Todd County, KY","21219","Data suppressed","Data suppressed"
"Tuberculosis","2023","Toa Baja Municipio, PR","72137","Data suppressed","Data suppressed"
"Tuberculosis","2023","Toa Alta Municipio, PR","72135","Data suppressed","Data suppressed"
"Tuberculosis","2023","Titus County, TX","48449","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tishomingo County, MS","28141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tipton County, TN","47167","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tipton County, IN","18159","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tippecanoe County, IN","18157","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tippah County, MS","28139","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tioga County, PA","42117","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tioga County, NY","36107","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tillman County, OK","40141","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tillamook County, OR","41057","Data suppressed","Data suppressed"
"Tuberculosis","2023","Tift County, GA","13277","Data suppressed","Data suppressed"
"Tuberculosis","2023","Thurston County, WA","53067","Data suppressed","Data suppressed"
