legal,rs,Category,Title,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
1,Spending,Credit card fees,Merchant fees,,,,$171.10,,$103.21,,,,,,,,
1,Spending,Credit card fees,IndieGogo fees,,,,,$1.33,"$65,541.66","$134,280.36",,,,,,,
1,Spending,Credit card fees,Stripe Fees ,,"$171,986.00","$118,559.91","$78,552.67",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Perk costs,,,,,,,,,,,,,,
1,Spending,Perk costs,Perk Purchase ,,,"$98,955.39","$43,124.39","$14,334.10","$24,395.91","$20,904.55","$21,061.33","$23,011.58","$10,380.43","$20,632.86","$13,076.65",,
1,Spending,Perk costs,Cost of Goods Sold ,,"$41,420.00",,,,,,,,"$2,497.81",,,,
1,Spending,Perk costs,Postage,,,,$163.85,$123.43,$213.90,$278.55,$211.15,$162.19,$45.08,$681.80,"$23,645.71",,
1,Spending,Perk costs,Printing,,,,,,,$190.74,$60.48,$23.60,$96.80,"$12,205.75","$14,546.32",,
1,Spending,Perk costs,Shipping and Fulfillment Expense ,,"$97,145.00","$112,595.39","$57,209.30","$29,003.15","$28,627.11","$34,974.32","$53,554.99","$43,101.83","$51,687.43","$40,163.09",120.4,"$1,245.94",
1,Spending,Perk costs,Shipping supplies,,,,"$2,039.73","$2,156.95",,"$1,786.93",,$578.65,"$3,609.63","$8,187.78","$4,875.41",$865.00,
,,,,,,,,,,,,,,,,,
,,,P4A costs,,,,,,,,,,,,,,
1,Spending,P4A costs,Office supplies,,,,$696.36,,$559.00,$557.75,$507.75,$560.70,,$97.58,$666.94,,
1,Spending,P4A costs,Other supplies,,,,,,,,,,,$7.99,,,
1,Spending,P4A costs,"Software, Services & Subscriptions ",,"$3,547.00","$1,362.49","$1,459.32","$1,493.66","$1,798.77","$3,678.87","$3,726.42","$3,428.26","$3,625.77","$1,504.11",$15.00,,
1,Spending,P4A costs,Subcontractors,,"$38,654.00","$1,682.50",$800.00,"$2,570.00",$720.00,,,,,,,,
1,Spending,P4A costs,Subcontractors - Foreign ,,,"$4,381.69",,,,,,$400.00,,,,,
1,Spending,P4A costs,Supplies ,,,$767.61,$63.63,$28.78,$80.82,$89.47,$58.50,,,,,,
1,Spending,P4A costs,Travel,,,,,,,,,,,$136.18,,,
1,Spending,P4A costs,Website/Tech fees,,,,,,,,,,,$17.10,,,
,,,,,,,,,,,,,,,,,
,,,Business expenses,,,,,,,,,,,,,,
1,Spending,Business expenses,Bank Charges ,,,$85.00,"$2,310.62",,,$40.00,$60.43,$30.00,$82.44,$38.73,$36.00,,
1,Spending,Business expenses,Depreciation expense,,,,,$55.00,$110.00,$110.00,$110.00,$110.00,$55.00,"$2,503.89",,,
1,Spending,Business expenses,Legal & Professional Fees,,"$3,563.25","$3,267.50","$1,160.00","$1,150.00","$1,150.00","$2,496.00","$5,125.00","$2,983.75",,,,,
1,Spending,Business expenses,Taxes & Licenses,,,$20.00,$20.00,$20.00,$20.00,$35.00,$20.00,$20.00,$15.00,,,,
1,Spending,Business expenses,Reinvestment/Unrealized gain or loss,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Grants,,,,,,,,,,,,,,
1,Spending,Grants,P4A Grants,,"$2,094,256.00","$2,033,759.30","$1,695,186.52","$780,106.06","$833,610.06","$933,233.71","$1,010,845.86","$1,090,864.34","$984,336.72","$775,446.80","$364,500.00","$74,951.95",
1,Spending,Grants,Other grants,,,,,,,,,,,"$114,933.33",,,
,,,Total spend,$0.00,"$2,450,571.25","$2,445,455.57","$1,941,258.66","$832,345.25","$958,244.15","$1,134,658.78","$1,097,184.60","$1,167,183.05","$1,058,018.79","$976,556.99","$421,482.43","$77,062.89",$0.00
,,,Other spend,$0.00,"$356,315.25","$411,696.27","$246,072.14","$52,239.19","$124,634.09","$201,425.07","$86,338.74","$76,318.71","$73,682.07","$201,110.19","$56,982.43","$2,110.94",$0.00
,,,NET OPERATING REVENUE ,,"$117,955.72","$67,652.84","-$15,131.26","$723,656.84","-$28,765.46","$629,788.35","-$770,214.37","$644,660.86","$257,224.46","$22,291.72","$21,131.15","-$40,302.25",
,,,NET REVENUE ,,"$118,251.50","$67,652.84","-$15,131.26","$723,656.84","-$28,765.46","$629,788.35","-$770,214.37","$644,660.86","$257,224.47","$22,291.72","$21,131.15","-$40,302.25",
,,,,,,,,,,,,,,,,,
,,,Form 990,,,,,,,,,,,,,,
,,,End of year net assets (22),,"$271,993.00","$129,987.00","$62,334.00","$77,466.00","$801,123.00","$829,888.00","$200,100.00","$970,314.00","$325,654.00","$68,429.00","$46,136.89","$25,005.74","$65,307.99"
,,,Prior period adjustments,,"$23,754.00",,,,,,,,,,,,
,,,,,"$271,992.75","$129,986.84","$62,334.74","$77,466.16","$801,122.54","$829,888.35","$200,099.63","$970,314.86","$325,653.46","$68,428.61","$46,136.89","$25,005.74",$0.00
