,Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Tags,2025,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,2024,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,2023,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,2022,Unnamed: 25_level_0,2021,Unnamed: 27_level_0,2020,2019,Unnamed: 30_level_0,2018,Unnamed: 32_level_0,2017,Unnamed: 34_level_0,2016,Unnamed: 36_level_0,2015,Unnamed: 38_level_0,2014,Unnamed: 40_level_0,2013,Unnamed: 42_level_0,2012,Unnamed: 44_level_0,2011
11,Good Food Institute,"$157,697.00","$154,956.11",https://gfi.org/,,81-0840578,Education,,,,,,,,7.0,683.0,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48",,,"$25,000.00","$25,000.00",,,,,,,,,,
12,Habibi.Works,"$75,347.00","$112,593.39",https://habibi.works/,CAF America/Greece distributed grants,ΓΕΜΗ: 164727629000,Art; Refugees; Human services,,,,,,,,13.0,3705.0,,"$37,297.09",,fund not feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,,,,
13,Hear Your Song,"$36,948.00","$74,244.91",https://www.hearyoursong.org/,,85-3483842,Human services,,,,,,,,14.0,1374.0,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,,,,,,,,,,,,,,,,,,,,,,
14,Legacy Youth Leadership,"$68,972.00","$68,971.08",https://legacyyouthleadership.org/,,81-2177352,Youth services,,,,,,,,16.0,984.0,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
15,Mermaids UK ,"$68,972.00","$106,268.17",https://mermaidsuk.org.uk/,UK distributed funds,CE002708 (UK),LGBTQ+ rights,,,,,,,,1.0,1121.0,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
16,Nanowrimo,"$227,465.00","$224,674.11",https://nanowrimo.org/,,65-1282653,Art,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00",,,,,,
17,National Center For Transgender Equality,"$68,972.00","$68,971.08",https://transequality.org/,,41-2090291,LGBTQ+ rights,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
18,No Means No Worldwide,"$68,972.00","$68,971.08",https://www.nomeansnoworldwide.org/,,46-4183160,Sexual violence; Women's rights; Human rights,,,,,,,,1.0,357.0,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
19,Not Forgotten,"$305,164.00","$340,131.28",https://www.notforgotten.org/,,26-0734351,Children; Poverty,,,,,,,,,,,"$37,758.47",,guaranteed,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93","$15,271.00","$15,270.77","$25,000.00","$25,000.00","$50,000.00","$50,000.00","$40,500.00","$40,500.00",,
20,Other People Fund,"$36,948.00","$36,947.82",https://www.otherpeoplefund.com/,Support for the Psyche Inc,86-2381424,Mental health,,,,,,,,1.0,629.0,x,,,feat not fund,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
21,Prison Book Program,"$114,066.00","$148,622.72",https://prisonbookprogram.org/,,20-3235673,Libraries; Education; Incarceration,,,,,,,,4.0,2170.0,x,"$37,297.09",,fund and feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
22,Project Heal,"$36,948.00","$36,947.82",https://www.theprojectheal.org/,,22-3676800,Youth services,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
23,She's The First,"$224,393.00","$258,899.13",https://shesthefirst.org/,,65-1321437,Women's rights,,,,,,,,24.0,1480.0,,"$37,297.09",,fund not feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93","$25,000.00","$25,000.00","$25,000.00","$25,000.00",,,,,,
24,Sustainability Matters,"$68,972.00","$74,244.91",https://www.sustainabilitymatters.earth/,,84-2664760,Environment,,,,,,,,1.0,922.0,x,"$37,297.09",,fund and feat,,"$36,947.82","$36,948.00",fund not feat,,"$32,024.00",,,,,,,,,,,,,,,,,,,,
25,The Ocean Cleanup,"$152,465.00","$149,674.11",https://theoceancleanup.com/,,81-5132355,Environment,,,,,,,,1.0,165.0,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,,,,
26,The Trevor Project,"$139,066.00","$136,325.63",https://www.thetrevorproject.org/,,95-4681287,LGBTQ+ rights,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,,,"$25,000.00","$25,000.00",,,,,,,,,,
27,Thirst Project,"$199,811.00","$234,317.75",https://www.thirstproject.org/,,35-2339840,Water,,,,,,,,15.0,1048.0,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00",,,"$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,"$25,000.00","$25,000.00","$50,000.00","$50,000.00",,,,
28,This Star Won't Go Out,"$277,465.00","$311,971.20",https://www.tswgo.org/,,27-4235482,Health; Cancer,,,,,,,,1.0,1474.0,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$50,000.00","$50,000.00",,,,
29,UNHCR,"$502,910.00","$500,121.95",https://www.unhcr.org/en-us/,,52-1662800,Human rights; Refugees,,,,,,,,,,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,"$19,768.00","$19,718.00","$25,000.00","$25,000.00","$344,076.00","$344,078.32",,,,,,,,
30,Uplift,"$189,664.00","$186,872.81",https://uplifttogether.org/about,,47-3412289,Sexual violence; Women's rights; Human rights,,,,,,,,,,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93","$15,271.00","$15,270.77",,,,,,,,
31,Wikimedia Foundation,"$36,948.00","$36,947.82",https://wikimediafoundation.org/,,20-0049703,Web-based media; Media democracy; Libraries,,,,,,,,,,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,,,,,,,,,,,,,,,,,,,,,,
32,3 Bluebirds Farm,$0.00,$0.00,WWW.3BLUEBIRDSFARM.ORG,,30-0715917,Agriculture; Sustainability,,,,,,,,1.0,62.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A Cat's Life Rescue,$0.00,"$37,297.09",www.acatsliferescue.org,,83-1610305,Animals,,,,,,,,1.0,738.0,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A Moment of Magic Foundation,$0.00,$0.00,AMOMENTOFMAGIC.ORG,,81-1740360,Social services,,,,,,,,,67.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ACLU,"$21,928.00","$21,927.93",https://www.aclu.org/,,13-6213516,Human rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93",,,,,,,,,,
36,Action Against Hunger,"$25,000.00","$25,000.00",http://www.actionagainsthunger.org/,,13-3327220,Hunger,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,,,,,,
37,Actors Fund,"$27,654.00","$27,653.45",https://actorsfund.org/,,13-1635251,Art; Labor,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
38,Against Malaria Foundation,"$165,517.00","$200,023.38",https://www.againstmalaria.com/,,20-3069841,Health; Malaria,,,,,,,,5.0,590.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00",,,,,,,,
39,All Out,$0.00,$0.00,,,,,,,,,,,,1.0,52.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Alliance for Building Communities,$0.00,$0.00,WWW.HOUSING-ABC.ORG,,23-2041406,Housing; Community services,,,,,,,,1.0,159.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Alzheimer's Association,"$47,422.00","$47,371.45",https://www.alz.org/,,13-3039601,Health; Alzheimer's,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
42,Alzheimer's Society,$0.00,"$40,500.00",http://alzheimers.org.uk/,,31-1815826,Health; Alzheimer's,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,"$40,500.00",,
43,American Foundation for Suicide Prevention,"$30,360.00","$30,359.56",https://www.afsp.org/,,13-3393329,Mental health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77","$15,089.00","$15,088.79",,,,,,
44,American Humane Society,"$17,440.00","$14,701.10",https://www.americanhumane.org/,,84-0432950,Animals,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
45,Amnesty International,$0.00,$0.00,,,52-0851555,Human rights; Refugees,,,,,,,,1.0,0.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Animal Equality,$0.00,$0.00,,,47-2420444,Animals,,,,,,,,1.0,406.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
47,APOPO Herorats,"$17,440.00","$14,701.10",https://www.apopo.org/en/,,47-1389723,Health; Human rights; War; Tuberculosis,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
48,Aquatic Life Institute,$0.00,$0.00,,,87-3020380,Environment; Animals,,,,,,,,1.0,123.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Arbor Day Foundation,"$17,440.00","$14,701.10",https://www.arborday.org/,,23-7169265,Environment,,,,,,,,,,,,,no fund or feat,,,,,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
50,Archaeology in the Community,$0.00,$0.00,,,30-0538831,Art; Youth services; Education,,,,,,,,1.0,166.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Artists Open Studio,$0.00,$0.00,,,20-4012059,Art,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
52,ASISTA Immigration Assistance,$0.00,$0.00,WWW.ASISTAHELP.ORG,,26-3233209,Immigration; Human rights,,,,,,,,1.0,166.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Associação Auxílio e Amizade (Aid & Friendship Association),"$32,024.00","$32,023.26",https://auxilioeamizade.pt/,,NIPC 505850117,Community services,,,,,,,,1.0,413.0,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
54,Astor Services,$0.00,$0.00,WWW.ASTORSERVICES.ORG,,14-1397918,Children; Education,,,,,,,,1.0,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bail Project,$0.00,"$37,297.09",WWW.BAILPROJECT.ORG,,81-4985512,Incarceration; Human rights,,,,,,,,1.0,117.0,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Be The Change Youth Initiative,$0.00,$0.00,,,85-1730074,Youth organizing,,,,,,,,1.0,78.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Beyond Blue,$0.00,$0.00,,,37-1730253,Health,,,,,,,,1.0,68.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Books for Africa,"$15,089.00","$15,088.79",https://www.booksforafrica.org/,,41-1627391,Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
59,Brooklyn Movement Center,"$27,654.00","$27,653.45",http://brooklynmovementcenter.org/,Fund for City of New York,13-2612524,Art; Community services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
60,CAF America,"$102,168.00",$0.00,,,43-1634280,,,,,,,,,,,,,,no fund or feat,,,,,,,,,,,"$5,960.00",,"$3,163.00",,,,,,,,,,,,,
61,Cage to Couch,$0.00,$0.00,,,88-1759107,,,,,,,,,1.0,199.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Cake4Kids,$0.00,$0.00,,,,,,,,,,,,1.0,1047.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
63,California Native Garden Foundation,$0.00,"$37,297.09",https://cngf.org,,72-1562616,Agriculture; Education; Environment,,,,,,,,1.0,678.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
64,Calling All Crows,$0.00,$0.00,,,26-3763300,,,,,,,,,1.0,119.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Camp Fatima of New Jersey,$0.00,$0.00,,,23-7149909,,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
66,Campaign Against Living Miserably,$0.00,"$37,297.09",,,,Mental health,,,,,,,,3.0,1588.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
67,"Carabiner Collections, Inc.",$0.00,"$37,297.09",,,93-4688929,Libraries; Education,,,,,,,,1.0,1055.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
68,Carolina Manga Library,$0.00,$0.00,,,47-1170699,,,,,,,,,1.0,178.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Carymoor Environmental Trust,$0.00,$0.00,,,,,,,,,,,,1.0,286.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CASA Project Worcester County,$0.00,$0.00,,,,,,,,,,,,1.0,133.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Catholic Migration Services,$0.00,$0.00,,,11-2634818,,,,,,,,,1.0,61.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Center for Constitutional Rights,$0.00,$0.00,,,22-6082880,,,,,,,,,1.0,0.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Charity Elections,$0.00,$0.00,,,,,,,,,,,,1.0,45.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
74,charity:water,"$15,271.00","$15,270.77",https://charitywater.org/,,22-3936753,Water,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,"$15,270.77",,,,,,,,
75,Child's Play,"$50,000.00","$50,000.00",http://www.childsplaycharity.org/,,20-3584556,Human services,,,,,,,,,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,"$50,000.00","$50,000.00",,,,
76,Children's Future International ,$0.00,"$37,297.09",WWW.CHILDRENSFUTURE.ORG,,26-1761651,Social services,,,,,,,,1.0,586.0,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
77,Clean Air Task Force,"$45,094.00","$42,354.55",https://www.catf.us/,,04-3512550,Climate,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
78,Clean Oceans Action,$0.00,$0.00,,,22-2897204,,,,,,,,,1.0,151.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CoachBright Charitable Trust,$0.00,$0.00,,,,,,,,,,,,1.0,31.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Conservation International,$0.00,$0.00,,,52-1497470,,,,,,,,,1.0,220.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Creative Commons,$0.00,$0.00,,,04-3585301,,,,,,,,,1.0,439.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Crisis Text Line,"$17,440.00","$14,701.10",https://www.crisistextline.org/,,46-5039599,Mental health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
83,Cure Alzheimer's Fund,$0.00,$0.00,,,82-1402154,,,,,,,,,1.0,67.0,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
84,Days for Girls International,"$25,000.00","$25,000.00",http://www.daysforgirls.org/,,45-3934671,Women's rights; Health; Youth services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,,,,
85,Denver Public Library Friends Foundation,$0.00,$0.00,,,84-6036979,Libraries,,,,,,,,1.0,64.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
86,dewindroos,$0.00,$0.00,,,,,,,,,,,,1.0,56.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Dinosuars Will Always be Awesome,$0.00,$0.00,,,,,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
88,Direct Relief,"$15,271.00","$15,270.77",https://www.directrelief.org/,,95-1831116,Health; Disaster relief,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77",,,,,,,,
89,Disability Policy Consortium,$0.00,$0.00,,,04-3570281,,,,,,,,,1.0,109.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Disabled Children's Fund,$0.00,$0.00,,,,,,,,,,,,1.0,0.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Donate Life,"$15,089.00","$15,088.79",http://donatelife.net/,,54-1626038,Health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
92,Drag Story Hour,$0.00,"$37,297.09",dragstoryhour.org,,86-2721367,LGBTQ+ rights; Education; Children,,,,,,,,1.0,622.0,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Effective Thesis,$0.00,$0.00,,,,,,,,,,,,1.0,47.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Emory Farmworker Project,$0.00,$0.00,,,,,,,,,,,,1.0,348.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Empower Tennessee,$0.00,$0.00,,,62-1585996,,,,,,,,,1.0,154.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Encouraging Women Across All Borders,$0.00,$0.00,,,84-3416643,Women's rights,,,,,,,,2.0,84.0,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
97,Ending Cancer in Our Generation,$0.00,$0.00,,,45-2676123,Cancer,,,,,,,,1.0,42.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Engineers Without Borders,"$18,631.00","$18,630.48",https://www.ewb-usa.org/,,84-1589324,Agriculture; Environment; Water; Economic development,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
99,Equal Justice Initiative,"$27,654.00","$27,653.45",https://eji.org/,,63-1135091,Incarceration; Human rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
100,Equal Rights Beyond Borders,$0.00,$0.00,,,,,,,,,,,,1.0,372.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Everytown for Gun Safety,"$17,440.00","$14,701.10",https://everytown.org/,,26-1598353,Gun control; Policy,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
