,Charity,Website,Passthrough,EIN,Tags,Annual Revenue,Total grants,Number of grants,Most recent grant,Videos this year,All Videos,Last featured
26,World Food Programme,http://www1.wfp.org/,,13-3843435,Human services; Hunger,"$137,489,045.00","$43,836",2,2019,0,0,
27,Fandom Forward,https://fandomforward.org/,,20-8045792,"Civil rights, social action & advocacy; Community organizing","$246,598.00","$404,183",13,2024,0,4,
28,Love146 Dayton Task Force,http://146taskforce.org/,,20-1168284,Children; Crime & legal-related; Human rights,"$5,103,015.00","$40,500",1,2013,0,0,
29,Mercy Children's Hospital,http://mercyweb.org/mercy_childrens.aspx,,,Children; Health,,"$40,500",1,2013,0,0,
30,Uncultured Project,https://youtube.com/user/UnculturedProject,CAF America,,Economic development; Human rights; Poverty,,"$40,500",1,2013,0,0,
31,To Write Love on Her Arms,http://twloha.com/,,26-0789229,Human rights; Mental health; Mental health & crisis intervention,"$3,854,070.00","$40,294",2,2015,0,0,
32,We Need Diverse Books,http://weneeddiversebooks.org/,,47-1786302,Education; Libraries,"$1,117,905.00","$40,089",2,2017,0,0,
33,Save the Children,https://www.savethechildren.org/,,06-0726487,"Children; Human rights; International, foreign affairs & national security; Refugees","$919,334,410.00","$4,250,077",12,2025,0,1,
34,West Suburban Humane Society,https://www.wshs-dg.org/,,23-7355420,Animals,"$2,282,224.00","$38,841",1,2025,2,2,
35,Yoga and Sports for Refugees,https://yogasportwithrefugees.org/,,France W335003712,,,"$38,841",1,2025,1,3,
36,Queer Liberation Library,https://www.queerliberationlibrary.org/,,81-5089505,Arts and culture; Education; Lgbtq+; Public & societal benefit,"$1,651,835.00","$38,841",1,2025,1,2,2025
37,Literacy for Life,https://www.literacyforlife.org,,54-1085026,Community improvement; Education; Employment; Immigration; Poverty,"$893,304.00","$38,841",1,2025,1,2,2025
38,Camp Fatima of New Jersey,https://campfatimanj.org/,,23-7149909,Human services,"$674,467.00","$38,841",1,2025,0,1,2025
39,ASISTA Immigration Assistance,WWW.ASISTAHELP.ORG,,26-3233209,Human rights; Human services; Immigration,"$682,219.00","$38,841",1,2025,1,3,2025
40,Pink Ribbon Good,http://www.pinkribbongood.org,,32-0020270,Community improvement; Voluntary health associations & medical disciplines,$0.00,"$38,841",1,2025,1,2,
41,Rainbow Trust Children's Charity,https://www.globalgiving.org/donate/4655/rainbow-trust-childrens-charity/,Global Giving,30‑0108263,"Children and youth; Disability; Healthcare; International, foreign affairs & national security","$120,852,957.00","$38,841",1,2025,1,2,
42,Soul Bilíngue,https://www.soulbilingue.com/en,,,Education; Employment,,"$38,841",1,2025,1,2,
43,Underdog Animal Rescue and Rehab,https://underdogrescuemoab.org/,,82-3156476,Animal-related; Animals; Community improvement,"$1,083,337.00","$38,841",1,2025,1,2,
44,Kate's Club,https://www.katesclub.org/,,16-1646487,Children and youth; Human services,"$2,583,311.00","$38,841",1,2025,1,2,
45,Acceptess-T,https://www.helloasso.com/associations/acceptess-t/formulaires/2,,,Housing and shelter; Lgbtq+; Poverty,,"$38,841",1,2025,1,2,
46,LOVEPAWS,https://lovepawspg.org/,,83-3122611,Animal-related; Animals,"$136,324.00","$38,841",1,2025,1,2,
47,Now I Lay Me Down to Sleep,https://www.nowilaymedowntosleep.org/,,77-0656322,Healthcare; Human services,"$745,408.00","$38,841",1,2025,1,2,
48,ReFOCUS Media Labs,https://refocusmedialabs.org/,MyriadUSA,58-2277856,"Education; International, foreign affairs & national security; Refugees","$121,394,713.00","$38,841",1,2025,1,3,2024
49,Alveus Sanctuary,http://www.alveussanctuary.org,,86-1772907,Animal-related; Animals,"$849,155.00","$38,841",1,2025,0,1,
50,Palestinian American Community Center,www.paccusa.org,,46-5270907,Human services,"$764,246.00","$37,298",1,2024,0,2,2025
51,Instrument Shop,https://youthinstrumentbuilding.org/,,86-2400545,Art; Education,"$102,050.00","$37,298",1,2024,0,2,2024
52,Children's Future International,WWW.CHILDRENSFUTURE.ORG,,26-1761651,"International, foreign affairs & national security; Social services","$535,794.00","$37,298",1,2024,0,2,2024
53,it gets better project,https://itgetsbetter.org/,ILOA Foundation,26-1906629,Human services,,"$37,298",1,2024,0,2,
54,UNRWA USA,https://www.unrwausa.org/,,20-2714426,"International development; International, foreign affairs & national security; Palestine; Refugees","$32,433,934.00","$37,297",1,2024,0,3,
55,Bail Project,WWW.BAILPROJECT.ORG,,81-4985512,Crime & legal-related; Human rights; Incarceration,"$14,128,946.00","$37,297",1,2024,1,3,
56,"Carabiner Collections, Inc.",https://www.carabinercollections.org/,,93-4688929,Education; Libraries,$0.00,"$37,297",1,2024,1,3,2024
57,California Native Garden Foundation,https://cngf.org,,72-1562616,Agriculture; Education; Environment,"$666,559.00","$37,297",1,2024,0,1,2024
58,Thrive Youth Center,WWW.THRIVEYOUTHCENTER.ORG,,47-1528452,Human services; Youth services,"$2,094,636.00","$37,297",1,2024,1,2,2024
59,Not Forgotten,https://www.notforgotten.org/,,26-0734351,Children; Human services; Poverty,"$681,794.00","$364,323",12,2025,1,2,2025
60,Other People Fund,https://www.otherpeoplefund.com/,Support for the Psyche Inc,86-2381424,Mental health; Mental health & crisis intervention,$0.00,"$36,948",1,2023,1,3,2024
61,American Library Association,https://www.ala.org/,,36-2166947,Education; Libraries,"$60,808,253.00","$36,948",1,2023,1,1,2023
62,Asian Americans United,https://aaunited.org/,,22-2981076,Human rights; Youth development,"$798,295.00","$36,948",1,2023,1,2,2023
63,Center for Reproductive Rights,https://reproductiverights.org/,,13-3669731,"Civil rights, social action & advocacy; Human rights","$56,260,101.00","$36,948",1,2023,0,0,2023
64,Project Heal,https://www.theprojectheal.org/,,22-3676800,Human services; Youth services,"$532,425.00","$36,948",1,2023,0,0,2023
65,Wikimedia Foundation,https://wikimediafoundation.org/,,20-0049703,Education; Libraries; Media democracy; Web-based media,"$180,199,672.00","$36,948",1,2023,0,0,
66,This Star Won't Go Out,https://www.tswgo.org/,,27-4235482,Cancer; Health; Human services,"$80,721.00","$336,163",11,2025,2,5,2025
67,World Central Kitchen,https://wck.org/,,27-3521132,"Disaster relief; Hunger; International, foreign affairs & national security","$241,549,612.00","$32,024",1,2022,0,1,2025
68,Associação Auxílio e Amizade (Aid & Friendship Association),https://auxilioeamizade.pt/,,NIPC 505850117,Community services,"$156,000.00","$32,024",1,2022,1,3,2023
69,War Child,https://www.warchild.org/,,20-0094157,War,,"$32,024",1,2022,0,3,
70,Love Does,https://lovedoes.org/,,83-0417128,Crime & legal-related; Education; Food banks; Human rights,"$1,944,266.00","$32,024",1,2022,0,1,2023
71,National Park Foundation,https://www.nationalparks.org/,,52-1086761,Environment,"$151,584,507.00","$32,024",1,2022,0,0,
72,World Bicycle Relief,https://worldbicyclerelief.org/,,20-5080679,"Poverty; Public safety, disaster preparedness & relief","$15,524,972.00","$32,024",1,2022,0,1,2023
73,American Foundation for Suicide Prevention,https://www.afsp.org/,,13-3393329,Mental health; Mental health & crisis intervention,"$47,990,598.00","$30,360",2,2016,0,1,
74,Partners in Health,https://www.pih.org/,,04-3567502,Health; Health care,"$273,127,031.00","$3,620,745",8,2025,0,0,
75,Holy Cross Mission Center,https://www.holycrossusa.org/mission-center/,,52-6044122,Religious,,"$29,106",1,2014,0,0,
76,She's The First,https://shesthefirst.org/,,65-1321437,Human services; Women's rights,"$1,270,165.00","$283,091",10,2025,0,35,2025
77,Nanowrimo,https://nanowrimo.org/,,65-1282653,"Art; Arts, culture & humanities","$1,158,793.00","$275,730",10,2023,0,0,2023
78,Wild Animal Initiative,https://www.wildanimalinitiative.org/,,82-2281466,Animal-related; Animals,"$6,958,910.00","$27,654",1,2021,1,2,
79,Equal Justice Initiative,https://eji.org/,,63-1135091,"Civil rights, social action & advocacy; Human rights; Incarceration","$67,268,484.00","$27,654",1,2021,0,1,
80,United Mitochondrial Disease Foundation,https://www.umdf.org/,,25-1767180,Health; Voluntary health associations & medical disciplines,"$5,296,793.00","$27,654",1,2021,1,3,2024
81,Actors Fund,https://actorsfund.org/,,13-1635251,Art; Labor; Mutual & membership benefit,"$99,407,081.00","$27,654",1,2021,0,0,
82,Brooklyn Movement Center,http://brooklynmovementcenter.org/,Fund for City of New York,13-2612524,"Art; Community services; Philanthropy, voluntarism & grantmaking foundations","$67,312,664.00","$27,654",1,2021,0,0,
83,Clean Air Task Force,https://www.catf.us/,,04-3512550,Climate; Environment,"$46,284,638.00","$27,654",1,2021,0,0,
84,Givewell,https://www.givewell.org/maximum-impact-fund,,20-8625442,"Health; Philanthropy, voluntarism & grantmaking foundations; Poverty","$219,626,118.00","$27,654",1,2021,0,4,
85,Marsha P. Johnson Institute,https://marshap.org/about-mpji/,Social Good Fund,46-1323531,Children; Education; Hunger,"$79,491,343.00","$27,654",1,2021,0,0,
86,Trans Lifeline,www.translifeline.org,,47-2097494,Lgbtq+ rights; Mental health & crisis intervention,"$4,665,261.00","$27,654",1,2021,0,0,
87,Wildlife Trusts,https://www.wildlifetrusts.org/,CAF America,UK 207238,Environment,,"$27,545",1,2021,0,0,
88,First Book,http://www.firstbook.org/,,52-1779606,Education,"$85,122,503.00","$25,205",1,2014,0,0,
89,Wayne Foundation,http://waynefdn.org/,,27-2101347,,,"$25,205",1,2014,0,0,
90,Women for Women International,http://www.womenforwomen.org/,,52-1838756,"International, foreign affairs & national security; Women's rights","$23,723,188.00","$25,205",1,2014,0,0,
91,Action Against Hunger,http://www.actionagainsthunger.org/,,13-3327220,"Hunger; International, foreign affairs & national security","$201,188,874.00","$25,000",1,2016,0,0,
92,Lava Mae,http://lavamae.org/,,81-0832318,Health care; Homeless services; Human services,"$127,051.00","$25,000",1,2016,0,0,
93,Days for Girls International,http://www.daysforgirls.org/,,45-3934671,"Health; International, foreign affairs & national security; Women's rights; Youth services","$2,913,820.00","$25,000",1,2015,0,0,
94,Last Mile Health,http://lastmilehealth.org/,,26-1401736,Health; Health care,"$44,994,266.00","$239,862",2,2018,0,0,
95,Thirst Project,https://www.thirstproject.org/,,35-2339840,"International, foreign affairs & national security; Water","$710,822.00","$219,668",7,2024,12,34,
96,ACLU,https://www.aclu.org/,,13-6213516,"Civil rights, social action & advocacy; Human rights","$201,181,635.00","$21,928",1,2017,0,2,
97,Flint Water Fund,http://www.unitedwaygenesee.org/flintwaterfund,United Way of Genesee City,38-1359516,"Community services; Philanthropy, voluntarism & grantmaking foundations; Water","$5,203,142.00","$21,928",1,2017,0,0,
98,Wildlife Conservation Network,https://wildnet.org/,,30-0108469,Animal-related; Environment,"$52,477,979.00","$21,928",1,2017,0,0,
99,Earthjustice,https://earthjustice.org/,,94-1730465,Environment; Policy,"$125,960,142.00","$194,250",7,2024,0,2,2024
100,St. Jude Children's Research Hospital,https://www.stjude.org/,,62-0646012,Cancer; Children; Health; Health care,"$1,707,244,071.00","$19,768",1,2018,1,3,
101,GLSEN,https://www.glsen.org/,,04-3234202,"Civil rights, social action & advocacy; Lgbtq+ rights","$7,006,897.00","$19,768",1,2018,0,0,
102,Hispanic Federation,http://hispanicfederation.org/,,13-3573852,Community improvement & capacity building; Health; Human services,"$67,915,333.00","$19,768",1,2018,0,0,
103,SENS Research Foundation,http://www.sens.org/,,94-3473864,Health; Medical research; Research,"$1,314,297.00","$19,768",1,2018,0,0,
104,Wigs4Kids,http://www.wigs4kids.org/,,20-0374667,Children; Health; Human services,"$889,856.00","$19,768",1,2018,1,1,
105,Against Malaria Foundation,https://www.againstmalaria.com/,,20-3069841,Health; Malaria; Voluntary health associations & medical disciplines,"$62,286,888.00","$185,374",7,2024,1,7,2024
106,Engineers Without Borders,https://www.ewb-usa.org/,,84-1589324,"Agriculture; Economic development; Environment; International, foreign affairs & national security; Water","$7,333,556.00","$18,631",1,2019,0,0,
107,Libraries without Borders,https://www.librarieswithoutborders.org/,,68-0666319,Education; Libraries,"$1,670,837.00","$18,631",1,2019,0,0,
108,RAINN,https://www.rainn.org/,,52-1886511,Human services; Mental health & crisis intervention; Sexual violence,"$21,320,102.00","$18,631",1,2019,0,0,
109,Refugee Council,https://www.refugeecouncil.org.uk/,,UK 1014576,Refugees,,"$18,631",1,2019,0,0,
110,The Being Together Foundation,http://www.fundacjabycrazem.pl/,CAF America,,,,"$18,631",1,2019,0,0,
111,National Suicide Prevention Lifeline,https://suicidepreventionlifeline.org/,Vibrant Emotional Health,13-2637308,Mental health,"$332,408,073.00","$18,630",1,2019,0,0,
112,Prison Book Program,https://prisonbookprogram.org/,,20-3235673,Crime & legal-related; Education; Incarceration; Libraries,"$324,332.00","$172,764",5,2025,3,10,2024
113,Uplift,https://uplifttogether.org/about,,47-3412289,Crime & legal-related; Human rights; Sexual violence; Women's rights,$0.00,"$172,224",7,2023,1,1,
114,Habibi.Works,https://habibi.works/,CAF America/Greece distributed grants/Germany,Greece 164727629000,Art; Human services; Refugees,"$140,493.00","$151,486",5,2025,11,38,2025
115,Direct Relief,https://www.directrelief.org/,,95-1831116,"Disaster relief; Health; International, foreign affairs & national security","$2,266,763,483.00","$15,271",1,2016,0,0,
116,Great Ormond Street Hospital for Children,http://www.gosh.org/,CAF America,,Health,,"$15,271",1,2016,0,0,
117,Malala Fund,https://www.malala.org/,,81-1397590,Education,"$17,216,455.00","$15,271",1,2016,0,1,
118,Soap Aid,http://www.soapaid.org/,CAF America,,Community services; Healthcare,,"$15,271",1,2016,0,0,
119,Books for Africa,https://www.booksforafrica.org/,,41-1627391,"Education; International, foreign affairs & national security","$33,635,680.00","$15,089",1,2015,0,0,
120,Donate Life,http://donatelife.net/,,54-1626038,Health; Unknown,"$2,096,973.00","$15,089",1,2015,0,0,
121,Stella's Circle,http://www.stellaburry.ca/,Grantmaking (North America),,Disability; Housing; Mental health,,"$15,089",1,2015,0,0,
122,The Book Truck,http://www.thebooktruck.org/,,45-3025073,Education,"$308,479.00","$15,089",1,2015,0,0,
123,The Sound of Hope,http://thesoundofhope.org/,,27-2807823,"Disaster relief; International, foreign affairs & national security","$53,696.00","$15,089",1,2015,0,0,
124,Animal Wonders,https://www.animalwonders.org/#/,,26-3339055,Animal-related; Animals,"$287,878.00","$145,110",4,2025,1,3,2025
125,Sustainability Matters,https://www.sustainabilitymatters.earth/,,84-2664760,Environment,"$311,002.00","$145,110",4,2025,1,3,2025
126,Audre Lorde Project,https://alp.org/,,06-1502452,Art; Lgbtq+ rights; Medical research,"$590,629.00","$145,110",4,2025,0,2,2025
127,water.org,https://water.org/,,58-2060131,"International, foreign affairs & national security; Water","$51,488,759.00","$141,171",6,2019,0,0,
128,Good Food Institute,https://gfi.org/,,81-0840578,"Education; Food, agriculture & nutrition","$43,631,366.00","$140,257",5,2023,1,11,
129,The Ocean Cleanup,https://theoceancleanup.com/,,81-5132355,Environment,"$19,747,898.00","$135,025",5,2023,0,1,
130,Ecology Project International,https://www.ecologyproject.org/,,91-2163952,Environment,"$5,327,631.00","$133,923",4,2024,2,34,
131,Doctors Without Borders,http://www.doctorswithoutborders.org/,,13-3433452,"Disaster relief; Health; International, foreign affairs & national security; Tuberculosis","$767,362,916.00","$124,701",5,2024,2,4,2025
132,The Trevor Project,https://www.thetrevorproject.org/,,95-4681287,"Civil rights, social action & advocacy; Lgbtq+ rights","$83,834,544.00","$121,626",4,2023,0,1,2023
133,Camp Lilac,https://www.camplilac.org/,GenderSphere,82-0712841,Children; Human services; Lgbtq+ rights,"$155,029.00","$113,086",3,2025,3,6,2025
134,Hear Your Song,https://www.hearyoursong.org/,,85-3483842,Health care; Human services,"$152,694.00","$113,086",3,2025,1,16,2025
135,Mermaids UK,https://mermaidsuk.org.uk/,UK distributed funds,UK 1160575,Lgbtq+ rights,"$1,462,998.00","$106,269",3,2024,0,2,2025
136,GiveDirectly,https://www.givedirectly.org/,,27-1661997,Economic development; Human services; Poverty,"$140,343,295.00","$103,350",4,2024,1,7,
137,APOPO Herorats,https://www.apopo.org/en/,,47-1389723,Health; Human rights; Human services; Tuberculosis; War,"$1,489,234.00",$0,0,,1,2,2025
138,Suubi Teen MOPS Uganda,https://hoffnung-fuer-uganda.de/wp-content/uploads/2023/01/202111_suubiupdateen.pdf,,,Education; Poverty,,$0,0,,1,3,2025
139,Kick it for Cancer,https://www.facebook.com/BeesKickIt/,Brecksville - Broadview Heights City School District,34-1726629,Cancer; Education,"$151,214.00",$0,0,,0,2,2025
140,"Renesting Project, Inc.",https://www.renestingprojectinc.org/,,45-3958008,Community improvement; Environment and conservation; Housing and shelter; Human services; Poverty,"$322,151.00",$0,0,,1,2,2025
141,Asian American Community Fund of Pennsylvania,https://aacfpennsylvania.org/,,84-3636499,"Arts and culture; Civil rights and advocacy; Civil rights, social action & advocacy; Community improvement","$14,094,602.00",$0,0,,0,1,2025
142,Youth Action,,,,,,$0,0,,0,1,2025
143,The Superhero Project,https://www.superheroprojectkids.org/,,84-2778460,Arts and culture; Children and youth; Disability; Health care,"$222,566.00",$0,0,,0,1,2025
144,StepUp Greensboro,https://www.stepupgreensboro.org/copy-2-of-donate,,45-2184316,Employment,"$576,463.00",$0,0,,0,1,2025
145,Gamers Outreach,https://gamersoutreach.org/,,26-0321174,Youth development,"$2,566,642.00",$0,0,,0,1,2025
146,Limbs for Life,https://www.limbsforlife.org/,,73-1422414,Disability; Healthcare; Medical research; Science and technology,"$937,685.00",$0,0,,0,1,2025
147,Center for Coastal Studies,http://www.coastalstudies.org,,04-2609788,Environment; Environment and conservation,"$6,754,681.00",$0,0,,0,1,2025
148,Happy Doggo,https://www.happydoggo.com/,,99-1254720,Animal-related; Animals,,$0,0,,0,1,
149,Animal Equality,https://animalequality.org/,,47-2420444,Animal-related; Animals,"$4,464,178.00",$0,0,,1,3,
150,EMU International Scholarship Fund,https://www.ejirointernationalscholarshipfund.com/,,,Education,,$0,0,,0,1,
151,ReliefAid,https://www.reliefaid.org.nz/,,New Zealand CC51254,"Children and youth; Community improvement; Education; Housing and shelter; Human rights; Hunger, food, and nutrition",,$0,0,,0,7,
152,Veganuary,https://veganuary.com,,England 1168566,"Animals; Environment and conservation; Hunger, food, and nutrition",,$0,0,,2,7,
153,Kids of Hope School,https://www.kids-of-hope.com/,,,Education; Poverty,,$0,0,,0,1,
154,Viral Vegans,https://www.viralvegans.com,,,,,$0,0,,0,4,
155,American Humane Society,https://www.americanhumane.org/,,84-0432950,Animal-related; Animals,"$25,898,245.00",$0,0,,0,1,
156,National Eating Disorders Association,https://www.nationaleatingdisorders.org/,,13-3444882,Mental health,"$5,439,918.00",$0,0,,1,2,
157,Digital4Good x #ICANHELP,https://www.icanhelp.net,,47-1589233,Children and youth; Education; Youth development,"$224,447.00",$0,0,,0,1,
158,Giving What We Can,https://www.givingwhatwecan.org/,,93-3629215,"Philanthropy, voluntarism & grantmaking foundations","$768,173.00",$0,0,,0,2,
159,Small Miracles,https://smallmiraclesinc.org/,,,Cancer; Children and youth; Healthcare,,$0,0,,0,1,
160,Seacology,https://www.seacology.org/what-we-do/,,87-0495235,,"$4,599,548.00",$0,0,,0,2,
161,cancer research institute,www.cancerresearch.org,,‍13-1837442,Healthcare; Medical research,"$32,295,259.00",$0,0,,1,2,
162,A Moment of Magic Foundation,AMOMENTOFMAGIC.ORG,,81-1740360,"Philanthropy, voluntarism & grantmaking foundations; Social services","$372,210.00",$0,0,,0,2,
163,Michael J. Fox Foundation,https://www.michaeljfox.org,,13-4141945,Disability; Healthcare; Medical research,"$316,078,272.00",$0,0,,0,1,
164,selfm-aid,https://selfm-aid.ch/en/,,Postkonto CHF: 15-656033-6,,,$0,0,,4,6,
165,The Starfish Foundation,https://www.thestarfishchange.org/,,39-1847399,"Arts, culture & humanities","$38,895.00",$0,0,,0,1,2023
166,Scarleteen,https://www.scarleteen.com,UN|HUSHED,82-3184837,"Civil rights, social action & advocacy; Education; Lgbtq+","$138,316.00",$0,0,,0,1,
167,National Abortion Federation,https://www.prochoice.org,,88-3509330,Abortion; Health care; Healthcare; Human rights,"$10,607,954.00",$0,0,,0,3,
168,Stichting Heuvelrug Theater,https://heuvelrugtheater.jortt.shop/?locale=en,,,Arts and culture; Children and youth; Education; Lgbtq+,,$0,0,,0,1,
169,Sinergia Animal,https://www.sinergiaanimalinternational.org/,,"Germany 1030663878",,,$0,0,,2,4,
170,Autistica,https://www.autistica.org.uk,,UK 1107350,Autism; Disability,"$3,731,463.00",$0,0,,1,6,
171,Mahim Aboli Foundation,https://www.abolifoundation.org/,,India U85300MH2019NPL321138,Children and youth; Education; Healthcare; Poverty,,$0,0,,0,1,
172,Aquatic Life Institute,https://www.ali.fish/,,87-3020380,Animal-related; Animals; Environment,"$648,814.00",$0,0,,0,4,
173,New Roots Institute,https://www.newrootsinstitute.org/,,82-4594246,"Animals; Children and youth; Civil rights and advocacy; Education; Environment and conservation; Food, agriculture & nutrition; Hunger, food, and nutrition","$1,670,660.00",$0,0,,1,2,
174,Animal Charity Evaluators,https://animalcharityevaluators.org/,,36-4684978,Animal-related,"$5,903,283.00",$0,0,,0,2,
175,OpenMRS,https://openmrs.org,,45-5316647,Healthcare; Medical research; Poverty; Science and technology,"$299,561.00",$0,0,,0,1,
176,Seattle Humane Society,https://www.seattlehumane.org/,,91-0282060,Animal-related; Animals,"$13,371,774.00",$0,0,,0,1,
177,Animal Advocacy Careers,https://animaladvocacycareers.org/,,86-1554905,Animal-related,"$387,632.00",$0,0,,0,2,
178,Sembrando Esperanza (Reforest Ecuador),https://fsembrandoesperanza.org/,,,Environment and conservation,,$0,0,,0,1,
179,"International Fund for Animal Welfare, Inc.",https://www.ifaw.org/programs/marine-mammal-rescue-research,,31-1594197,Animal-related; Animals,"$35,221,602.00",$0,0,,0,1,
180,People Against Landlord Abuse & Tenant Exploitation,https://www.palanteharlem.org/,,,Community improvement; Crime and legal services; Housing and shelter; Poverty,,$0,0,,0,1,
181,DoSomething.org,https://dosomething.org/,,13-3720473,Children and youth; Community improvement; Education; Employment; Environment and conservation; Healthcare; Lgbtq+; Mental health; Poverty; Science and technology; Youth development,"$2,329,517.00",$0,0,,0,1,
182,PauseAI,https://pauseai.info/,,Netherlands NL866227696B01,Civil rights and advocacy; Disaster preparedness and relief; Science and technology,,$0,0,,0,1,
183,Time Out Youth,https://timeoutyouth.org/,,56-1755564,Children and youth; Housing and shelter; Lgbtq+; Religion-related,"$1,335,800.00",$0,0,,1,2,
184,Faunalytics,https://faunalytics.org/,,01-0686889,,"$1,225,332.00",$0,0,,1,3,
185,Fish Welfare Initiative,https://www.fishwelfareinitiative.org/,,85-2065536,Animal-related; Animals,"$687,881.00",$0,0,,0,6,
186,Kindness Begins with Me,https://www.kindmestl.org,,92-1547254,Human services; Immigrant services; Refugees,$0.00,$0,0,,0,2,
187,Native Land Conservancy,https://www.nativelandconservancy.org/,,46-3944868,"Environmental Quality, Protection and Beautification / Land Resources Conservation","$3,901,945.00",$0,0,,1,2,
188,Puzzle Pieces Squared,https://puzzlepiecessquared.org/,,47-3834811,Autism; Disability; Voluntary health associations & medical disciplines,$0.00,$0,0,,0,1,
189,Chattanooga Free Store,http://www.chattfreestore.org,,87-2749722,Healthcare; Human services; Poverty,$0.00,$0,0,,0,1,
190,NATIONAL LGBTQ TASK FORCE,https://www.thetaskforce.org/,,52-1624852,Education; Lgbtq+,"$9,092,543.00",$0,0,,0,1,
191,Teens4TeensHelp,http://www.teens4teenshelp.org,,88-3118908,Mental health & crisis intervention,"$145,918.00",$0,0,,0,2,
192,"Safe To Be, Inc.",http://www.safetobe.org,,83-2670513,"Civil rights, social action & advocacy; Lgbtq+",$0.00,$0,0,,0,1,
193,Fungi Foundation,https://www.ffungi.org/,,85-1478153,Environment,"$348,314.00",$0,0,,0,2,
194,Haiti Partners,https://haitipartners.org/about-us/financials/,,26-3768289,"Children and youth; Education; International, foreign affairs & national security","$905,130.00",$0,0,,0,1,
195,Girls for change Initiative,https://g4ci.org/,,,Children and youth; Civil rights and advocacy; Education; Human rights,,$0,0,,0,1,
196,Fistula Foundation,https://fistulafoundation.org/,,77-0547201,Disability; Health care; Healthcare; Poverty,"$29,251,259.00",$0,0,,1,2,
