Charity,All time funding (990),All time pledged,Website,Tags,2026 Videos
Village Health Works,0,0,,"Education; Healthcare; Hunger, food, and nutrition; Poverty; Community improvement",1
Nuestra Tierra Aldea Creativa,0,0,,Education; Environment and conservation; Community improvement; Animals,1
Breast cancer research foundation,0,0,,Healthcare,1
HELP Foundation,0,0,,"Education; Housing and shelter; Hunger, food, and nutrition; Poverty",1
Immigrant Law center of Minnesota,0,0,,Immigration,1
Reading Is Fundamental,0,0,,Children and youth; Education; Poverty,1
St. Francis Inn,0,0,,"Hunger, food, and nutrition; Poverty; Community improvement",1
Rural Health Care Initiative,0,0,,"Children and youth; Healthcare; Hunger, food, and nutrition; Poverty; Community improvement",1
Village Alliance of the Southern Tier (VAST),0,0,,Community improvement,1
Merrymac Farm Sanctuary,0,0,,Animals,1
Emmy's Academy,0,0,,Children and youth; Disability; Education,1
SouthWest Organizing Project,0,0,,Children and youth; Environment and conservation; Civil rights and advocacy; LGBTQ+; Community improvement,1
Electric Love,0,0,,Children and youth; Disability; Sports and recreation,1
Kingdom Home,0,0,,Children and youth; Education; Housing and shelter; Human rights; Poverty,1
Hauling with Heart,0,0,,Environment and conservation; Housing and shelter; Poverty; Community improvement,1
Children's Health Fund,0,0,,Healthcare,1
Soft Landing Missoula,0,0,,"Children and youth; Employment; Hunger, food, and nutrition; Immigration; Civil rights and advocacy",1
KidZone TV,0,0,,Children and youth; Disability; Healthcare; Mental health; Arts and culture,1
West Side Campaign Against Hunger,0,0,,"Human rights; Hunger, food, and nutrition; Poverty; Community improvement",1
Fundación del Quemado,0,0,,Healthcare,1
International Centre for Animal Rights and Ethics (ICARE),0,0,,Education; Animals,1
Heart of PPA2,0,0,,Children and youth; Healthcare; Science and technology,1
Purple House,0,0,,Healthcare; Community improvement,1
Sense,0,0,,Disability,1
Just Safe,0,0,,Crime and legal services,1
Treatment Action Group,0,0,,Healthcare; Civil rights and advocacy; LGBTQ+; Science and technology,1
Caroline Symmes Children’s Cancer Endowment,0,0,,Children and youth; Education; Healthcare; Science and technology; Community improvement,1
Wabanaki Public Health and Wellness,0,0,,Children and youth; Arts and culture,1
The News Literacy Project,0,0,,Children and youth; Education,1
Shooting Touch,0,0,,Sports and recreation,1
Camp Fircom Society,0,0,,Children and youth; Education; Environment and conservation,1
AIDS Resource Alliance,0,0,,"Healthcare; Hunger, food, and nutrition; LGBTQ+; Poverty",1
The Lift Garage,0,0,,Employment; Poverty; Community improvement,1
Woodwell Climate Research Center,0,0,,Environment and conservation; Science and technology,1
"Safe Haven, Cambodia",0,0,,Children and youth; Disability; Healthcare,1
Clinic by the Bay,0,0,,Healthcare; Human rights; Immigration; Mental health; Community improvement,1
Paws and Claws Wildlife Rehabilitation,0,0,,Environment and conservation; Animals,1
HIVSA,0,0,,Children and youth; Employment; Healthcare; Mental health; Community improvement,1
Fostering Science,0,0,,Children and youth; Education; Environment and conservation; Science and technology; Community improvement,1
Refuge Coffee Co.,0,0,,Employment; Immigration; Community improvement,1
Paula Sparks World Moot on International Law and Animal Rights,0,0,,Children and youth; Civil rights and advocacy; Community improvement; Animals,1
Stichting Rescat,0,0,,Animals,1
Lafiya,0,0,,Children and youth; Healthcare; Human rights; Poverty; Science and technology,1
Cherry Children's Music Outreach,0,0,,Children and youth; Education; Arts and culture,1
SOSA,0,0,,Children and youth; Crime and legal services; Community improvement,1
Ethical Seafood Research,0,0,,Environment and conservation; Science and technology; Animals,1
Women's Foundation of Minnesota,0,0,,Human rights; Civil rights and advocacy,1
Tennessee Environmental Council,0,0,,Environment and conservation; Community improvement,1
Rez Vet,0,0,,Animals,1
Raven's Journey,0,0,,Children and youth; Education; Employment; Environment and conservation; Poverty,1
Last Chance Ranch,0,0,,Animals,1
The Roots of Music,0,0,,Children and youth; Education; Arts and culture,1
Ngombor,0,0,,"Education; Environment and conservation; Hunger, food, and nutrition; Poverty; Community improvement",1
KKOOM,0,0,,Children and youth; Education; Housing and shelter; Poverty; Community improvement,1
Free2Luv,0,0,,Human rights; Mental health; LGBTQ+,1
Baltimore Underground Science Space (BUGSS),0,0,,Children and youth; Education; Environment and conservation; Science and technology; Community improvement,1
Argyle Community Parks Foundation,0,0,,Children and youth; Sports and recreation; Community improvement,1
Brady United Against Gun Violence,0,0,,Children and youth; Crime and legal services; Mental health; Civil rights and advocacy; Community improvement,1
Machine Intelligence Research Institute,0,0,,Science and technology,1
Orange County Bird of Prey Center,0,0,,Education; Environment and conservation; Animals,1
Makoce Agriculture Development,0,0,,"Children and youth; Education; Hunger, food, and nutrition; Community improvement; Arts and culture",1
Nonhuman Rights Project,0,0,,Civil rights and advocacy; Animals,1
Casa Youth Shelter,0,0,,Children and youth; Education; Housing and shelter; Mental health; LGBTQ+,1
Coffin-Siris Syndrome Foundation,0,0,,Disability,1
Patterson-McCallum-Mareta Charitable Pharmacy (PMMCP),0,0,,Healthcare; Community improvement,1
Samos Volunteers,0,0,,Education; Human rights; Immigration; Mental health; Community improvement,1
RESCU Foundation,0,0,,Healthcare; Mental health; Arts and culture,1
Stichting Matchis,0,0,,Healthcare,1
NC Robotics Initiative,0,0,,Education; Science and technology,1
Allied Scholars for Animal Protection (ASAP),0,0,,Children and youth; Education; Environment and conservation; Civil rights and advocacy; Animals,1
Merced Housing Texas,0,0,,Children and youth; Housing and shelter; Poverty; Community improvement,1
VEAP,0,0,,"Children and youth; Housing and shelter; Hunger, food, and nutrition; Immigration; Poverty",1
Habitat for Humanity of Greater Charlottesville,0,0,,Housing and shelter; Community improvement,1
FoodWhat?!,0,0,,"Children and youth; Employment; Environment and conservation; Hunger, food, and nutrition; Mental health",1
"Phoenix No Limits Karate, Inc",0,0,,Children and youth; Disability; Human rights; Sports and recreation; Community improvement,1
Melodies of Liberation,0,0,,Human rights; Civil rights and advocacy; Arts and culture,1
Coalition Against Trafficking in Women,0,0,,Education,1
Wellness in the Schools,0,0,,"Hunger, food, and nutrition",1
The Marfan Trust,0,0,,Disability; Healthcare,1
UEEH,0,0,,Disability; Education; Healthcare; LGBTQ+; Community improvement,1
Convergence Communautaire du Faso (COCOFA),0,0,,Community improvement; Healthcare,1
EmpowerVan,0,0,,Education; Human rights; Immigration; Civil rights and advocacy; Sports and recreation,1
Trans Up Front IL,0,0,,Children and youth; Civil rights and advocacy; LGBTQ+,1
The Camp Tanamakoon Charitable Foundation Inc. o/a Camp Maple Leaf,0,0,,Children and youth; Disability; Mental health; Sports and recreation; Community improvement,1
S.A.L.V.E. International,0,0,,Children and youth; Poverty,1
Second Tree,0,0,,Education; Human rights; Immigration; Civil rights and advocacy; Community improvement,1
HeartBrothers Foundation,0,0,,Disability; Healthcare; Community improvement,1
Casa Belen,0,0,,"Children and youth; Education; Hunger, food, and nutrition; Poverty; Community improvement",1
Summit Assistance Dogs,0,0,,Disability; Animals,1
Ethical Society of St. Louis,0,0,,Children and youth; Education; Mental health,1
PKD Foundation of Canada,0,0,,Healthcare,1
Native American Community Services of Erie & Niagara Counties,0,0,,"Education; Employment; Hunger, food, and nutrition; Mental health; Community improvement",1
immigration equality,0,0,,Immigration,1
Camp Quest,0,0,,Children and youth; LGBTQ+; Sports and recreation,1
Ten by Three,0,0,,Education; Environment and conservation; Poverty; Community improvement,1
Golden Eagle Partnership,0,0,,Environment and conservation; Animals,1
Doctors Against Animal Experiments,0,0,,Education; Healthcare; Science and technology; Animals,1
Second Harvest Heartland,0,0,,"Children and youth; Human rights; Hunger, food, and nutrition; Poverty; Community improvement",1
An Open Book Foundation,0,0,,Children and youth; Education; Arts and culture,1
Toilet Equity,0,0,,Environment and conservation; Healthcare; Human rights; Poverty; Community improvement,1
The Phoenix House New York,0,0,,Mental health,1
Intertribal Agriculture Council,0,0,,"Children and youth; Environment and conservation; Hunger, food, and nutrition; Civil rights and advocacy; Community improvement",1
Do It Yourself Darlin,0,0,,Education; Housing and shelter; Community improvement,1
The Shadow Project,0,0,,Children and youth; Disability; Education; Mental health,1
Swan Valley Connections,0,0,,Children and youth; Disaster preparedness and relief; Education; Environment and conservation; Animals,1
Denver Philharmonic Orchestra,0,0,,Arts and culture,1
Make-A-Day,0,0,,Housing and shelter; Poverty,1
Joe Andruzzi Foundation,0,0,,Healthcare,1
Interface Children & Family Services,0,0,,"Children and youth; Housing and shelter; Hunger, food, and nutrition",1
American Indian Education Fund,0,0,,Children and youth; Education,1
Aces Dance Collective,0,0,,Arts and culture,1
Palestine Children's Relief Fund,0,0,,"Children and youth; Disaster preparedness and relief; Human rights; Hunger, food, and nutrition; Civil rights and advocacy",1
The Cholangiocarcinoma Foundation,0,0,,Healthcare,1
Asociación PASMO,0,0,,Healthcare; LGBTQ+,1
The Young Women's Movement,0,0,,Children and youth; Human rights; Civil rights and advocacy,1
Climate Ed,0,0,,Children and youth; Education; Environment and conservation; Community improvement,1
Autism Science Foundation,0,0,,Children and youth; Education; Community improvement,1
