Grouping,Area,Pop. size (N),Persons with LTBI (95%CI),Column %,LTBI % (95%CI)
25–44 years, AZ ,"1,733,477","69,017 (67,221 to 70,914)",37%,4.0 (3.9 to 4.1)
45–64 years, AZ ,"1,711,663","63,314 (61,560 to 65,172)",34%,3.7 (3.6 to 3.8)
65+ years, AZ ,"965,697","32,043 (31,103 to 33,316)",17%,3.3 (3.2 to 3.4)
Non-Hispanic white, AZ ,"3,213,282","47,991 (46,480 to 49,763)",26%,1.5 (1.4 to 1.5)
Non-Hispanic black, AZ ,"264,641","10,968 (10,631 to 11,352)",6%,4.1 (4.0 to 4.3)
Hispanic, AZ ,"2,526,082","91,590 (88,897 to 94,473)",49%,3.6 (3.5 to 3.7)
Asian or other race/ethnicity, AZ ,"546,603","36,018 (34,908 to 37,280)",19%,6.6 (6.4 to 6.8)
Total estimated number of persons with LTBI, CA ,"38,287,327","1,722,575 (1,671,633 to 1,777,341)",100%,4.5 (4.4 to 4.6)
With solid organ transplant (SOT), CA ,NA,482 (468 to 498),0%,
With HIV coinfection but not SOT, CA ,NA,"4,143 (4,015 to 4,284)",0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, CA ,NA,"7,396 (7,183 to 7,622)",0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", CA ,NA,"24,264 (23,556 to 25,020)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), CA ,NA,"245,204 (238,172 to 252,629)",14%,
None of the below medical risk factors reported, CA ,NA,"1,441,085 (1,398,240 to 1,487,288)",84%,
1–14 years, CA ,"7,190,073","16,966 (15,673 to 18,479)",1%,0.2 (0.2 to 0.3)
15–24 years, CA ,"5,652,440","103,474 (98,295 to 109,296)",6%,1.8 (1.7 to 1.9)
25–44 years, CA ,"10,647,768","528,650 (514,613 to 543,512)",31%,5.0 (4.8 to 5.1)
45–64 years, CA ,"9,908,948","776,150 (755,262 to 798,231)",45%,7.8 (7.6 to 8.1)
65+ years, CA ,"4,888,098","297,335 (287,791 to 307,824)",17%,6.1 (5.9 to 6.3)
Non-Hispanic white, CA ,"15,042,936","322,845 (312,569 to 334,344)",19%,2.1 (2.1 to 2.2)
Non-Hispanic black, CA ,"2,057,292","92,299 (89,028 to 96,148)",5%,4.5 (4.3 to 4.7)
Hispanic, CA ,"14,571,010","614,435 (596,614 to 633,377)",36%,4.2 (4.1 to 4.3)
Asian or other race/ethnicity, CA ,"6,616,087","692,996 (673,422 to 713,473)",40%,10.5 (10.2 to 10.8)
Total estimated number of persons with LTBI, CO ,"5,292,527","69,932 (67,926 to 72,139)",100%,1.3 (1.3 to 1.4)
With solid organ transplant (SOT), CO ,NA,24 (23 to 25),0%,
With HIV coinfection but not SOT, CO ,NA,183 (178 to 189),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, CO ,NA,292 (284 to 302),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", CO ,NA,553 (537 to 574),1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), CO ,NA,"7,816 (7,593 to 8,054)",11%,
None of the below medical risk factors reported, CO ,NA,"61,063 (59,310 to 62,995)",87%,
1–14 years, CO ,"970,122",694 (637 to 755),1%,0.1 (0.1 to 0.1)
15–24 years, CO ,"711,480","3,717 (3,558 to 3,892)",5%,0.5 (0.5 to 0.5)
25–44 years, CO ,"1,518,953","25,825 (25,158 to 26,530)",37%,1.7 (1.7 to 1.7)
45–64 years, CO ,"1,355,390","26,858 (26,124 to 27,634)",38%,2.0 (1.9 to 2.0)
65+ years, CO ,"736,582","12,839 (12,449 to 13,327)",18%,1.7 (1.7 to 1.8)
Non-Hispanic white, CO ,"3,716,393","21,345 (20,708 to 22,084)",31%,0.6 (0.6 to 0.6)
Non-Hispanic black, CO ,"204,212","10,162 (9,863 to 10,497)",15%,5.0 (4.8 to 5.1)
Hispanic, CO ,"1,091,936","22,418 (21,789 to 23,088)",32%,2.1 (2.0 to 2.1)
Asian or other race/ethnicity, CO ,"279,987","16,008 (15,566 to 16,469)",23%,5.7 (5.6 to 5.9)
Total estimated number of persons with LTBI, CT ,"3,536,587","61,955 (60,220 to 63,872)",100%,1.8 (1.7 to 1.8)
With solid organ transplant (SOT), CT ,NA,0,0%,
With HIV coinfection but not SOT, CT ,NA,233 (226 to 240),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, CT ,NA,163 (158 to 168),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", CT ,NA,174 (169 to 180),0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), CT ,NA,"4,222 (4,108 to 4,343)",7%,
None of the below medical risk factors reported, CT ,NA,"57,164 (55,560 to 58,941)",92%,
1–14 years, CT ,"585,226",67 (63 to 73),0%,0.0 (0.0 to 0.0)
15–24 years, CT ,"473,755","4,283 (4,098 to 4,488)",7%,0.9 (0.9 to 0.9)
25–44 years, CT ,"887,590","28,200 (27,477 to 28,963)",46%,3.2 (3.1 to 3.3)
45–64 years, CT ,"1,094,855","19,900 (19,360 to 20,471)",32%,1.8 (1.8 to 1.9)
65+ years, CT ,"495,161","9,505 (9,223 to 9,877)",15%,1.9 (1.9 to 2.0)
Non-Hispanic white, CT ,"2,513,029","26,188 (25,450 to 27,010)",42%,1.0 (1.0 to 1.1)
Non-Hispanic black, CT ,"310,286","7,719 (7,481 to 8,006)",12%,2.5 (2.4 to 2.6)
Hispanic, CT ,"468,168","14,766 (14,363 to 15,201)",24%,3.2 (3.1 to 3.2)
Asian or other race/ethnicity, CT ,"245,103","13,281 (12,926 to 13,655)",21%,5.4 (5.3 to 5.6)
Total estimated number of persons with LTBI, DC ,"648,422","29,188 (28,376 to 30,133)",100%,4.5 (4.4 to 4.6)
With solid organ transplant (SOT), DC ,NA,0,0%,
With HIV coinfection but not SOT, DC ,NA,382 (371 to 395),1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, DC ,NA,101 (98 to 105),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", DC ,NA,829 (805 to 861),3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), DC ,NA,"1,493 (1,448 to 1,549)",5%,
None of the below medical risk factors reported, DC ,NA,"26,384 (25,655 to 27,224)",90%,
1–14 years, DC ,"92,053",44 (42 to 48),0%,0.0 (0.0 to 0.1)
15–24 years, DC ,"81,167","1,342 (1,284 to 1,407)",5%,1.7 (1.6 to 1.7)
25–44 years, DC ,"256,810","13,125 (12,780 to 13,491)",45%,5.1 (5.0 to 5.3)
45–64 years, DC ,"142,590","8,400 (8,169 to 8,645)",29%,5.9 (5.7 to 6.1)
65+ years, DC ,"75,802","6,276 (6,102 to 6,542)",22%,8.3 (8.1 to 8.6)
Non-Hispanic white, DC ,"238,032","5,409 (5,259 to 5,578)",19%,2.3 (2.2 to 2.3)
Non-Hispanic black, DC ,"304,318","17,089 (16,601 to 17,682)",59%,5.6 (5.5 to 5.8)
Hispanic, DC ,"68,597","4,701 (4,579 to 4,830)",16%,6.9 (6.7 to 7.0)
Asian or other race/ethnicity, DC ,"37,475","1,989 (1,937 to 2,043)",7%,5.3 (5.2 to 5.5)
Total estimated number of persons with LTBI, DE ,"919,822","19,434 (18,854 to 20,101)",100%,2.1 (2.0 to 2.2)
With solid organ transplant (SOT), DE ,NA,0,0%,
With HIV coinfection but not SOT, DE ,NA,109 (105 to 113),1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, DE ,NA,79 (77 to 82),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", DE ,NA,613 (594 to 637),3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), DE ,NA,"1,395 (1,354 to 1,440)",7%,
None of the below medical risk factors reported, DE ,NA,"17,239 (16,724 to 17,829)",89%,
1–14 years, DE ,"163,342",369 (339 to 402),2%,0.2 (0.2 to 0.2)
15–24 years, DE ,"115,522","1,353 (1,293 to 1,420)",7%,1.2 (1.1 to 1.2)
25–44 years, DE ,"234,108","9,083 (8,837 to 9,344)",47%,3.9 (3.8 to 4.0)
45–64 years, DE ,"253,487","4,608 (4,477 to 4,747)",24%,1.8 (1.8 to 1.9)
65+ years, DE ,"153,363","4,021 (3,907 to 4,188)",21%,2.6 (2.5 to 2.7)
Non-Hispanic white, DE ,"581,838","6,099 (5,907 to 6,329)",31%,1.0 (1.0 to 1.1)
Non-Hispanic black, DE ,"184,898","4,549 (4,405 to 4,727)",23%,2.5 (2.4 to 2.6)
Hispanic, DE ,"95,410","4,300 (4,181 to 4,427)",22%,4.5 (4.4 to 4.6)
Asian or other race/ethnicity, DE ,"57,676","4,486 (4,362 to 4,617)",23%,7.8 (7.6 to 8.0)
Total estimated number of persons with LTBI, FL ,"19,477,695","587,214 (569,784 to 606,616)",100%,3.0 (2.9 to 3.1)
With solid organ transplant (SOT), FL ,NA,128 (125 to 133),0%,
With HIV coinfection but not SOT, FL ,NA,"4,699 (4,559 to 4,854)",1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, FL ,NA,"1,230 (1,193 to 1,273)",0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", FL ,NA,"14,737 (14,292 to 15,241)",3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), FL ,NA,"44,771 (43,456 to 46,221)",8%,
None of the below medical risk factors reported, FL ,NA,"521,648 (506,160 to 538,893)",89%,
1–14 years, FL ,"3,088,605","7,313 (6,719 to 7,960)",1%,0.2 (0.2 to 0.3)
15–24 years, FL ,"2,489,511","30,829 (29,384 to 32,441)",5%,1.2 (1.2 to 1.3)
25–44 years, FL ,"4,806,873","191,433 (186,174 to 197,017)",33%,4.0 (3.9 to 4.1)
45–64 years, FL ,"5,567,775","269,688 (262,113 to 277,715)",46%,4.8 (4.7 to 5.0)
65+ years, FL ,"3,524,931","87,951 (85,394 to 91,483)",15%,2.5 (2.4 to 2.6)
Non-Hispanic white, FL ,"10,821,856","205,142 (198,844 to 212,357)",35%,1.9 (1.8 to 2.0)
Non-Hispanic black, FL ,"3,034,566","143,832 (139,348 to 149,016)",24%,4.7 (4.6 to 4.9)
Hispanic, FL ,"4,857,166","173,414 (168,571 to 178,515)",30%,3.6 (3.5 to 3.7)
Asian or other race/ethnicity, FL ,"764,107","64,826 (63,021 to 66,728)",11%,8.5 (8.2 to 8.7)
Total estimated number of persons with LTBI, GA ,"9,848,721","293,659 (284,689 to 303,725)",100%,3.0 (2.9 to 3.1)
With solid organ transplant (SOT), GA ,NA,48 (47 to 50),0%,
With HIV coinfection but not SOT, GA ,NA,"1,931 (1,871 to 1,999)",1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, GA ,NA,736 (713 to 763),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", GA ,NA,"2,564 (2,484 to 2,656)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), GA ,NA,"24,985 (24,218 to 25,846)",9%,
None of the below medical risk factors reported, GA ,NA,"263,394 (255,356 to 272,411)",90%,
1–14 years, GA ,"1,963,597","6,118 (5,621 to 6,660)",2%,0.3 (0.3 to 0.3)
15–24 years, GA ,"1,249,290","13,850 (13,155 to 14,632)",5%,1.1 (1.1 to 1.2)
25–44 years, GA ,"2,823,980","108,850 (105,762 to 112,136)",37%,3.9 (3.7 to 4.0)
45–64 years, GA ,"2,542,332","121,508 (118,049 to 125,177)",41%,4.8 (4.6 to 4.9)
65+ years, GA ,"1,269,522","43,332 (42,101 to 45,119)",15%,3.4 (3.3 to 3.6)
Non-Hispanic white, GA ,"5,271,999","61,921 (59,978 to 64,156)",21%,1.2 (1.1 to 1.2)
Non-Hispanic black, GA ,"3,033,513","114,510 (110,791 to 118,876)",39%,3.8 (3.7 to 3.9)
Hispanic, GA ,"938,043","56,690 (55,087 to 58,369)",19%,6.0 (5.9 to 6.2)
Asian or other race/ethnicity, GA ,"605,167","60,537 (58,833 to 62,324)",21%,10.0 (9.7 to 10.3)
Total estimated number of persons with LTBI, HI ,"1,351,085","102,989 (99,910 to 106,332)",100%,7.6 (7.4 to 7.9)
With solid organ transplant (SOT), HI ,NA,0,0%,
With HIV coinfection but not SOT, HI ,NA,13 (13 to 13),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, HI ,NA,381 (370 to 393),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", HI ,NA,"1,026 (995 to 1,058)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), HI ,NA,"22,155 (21,500 to 22,860)",22%,
None of the below medical risk factors reported, HI ,NA,"79,414 (77,033 to 82,008)",77%,
1–14 years, HI ,"251,279","2,297 (2,109 to 2,501)",2%,0.9 (0.8 to 1.0)
15–24 years, HI ,"194,445","8,009 (7,642 to 8,417)",8%,4.1 (3.9 to 4.3)
25–44 years, HI ,"337,225","28,133 (27,419 to 28,887)",27%,8.3 (8.1 to 8.6)
45–64 years, HI ,"344,958","46,226 (44,990 to 47,532)",45%,13.4 (13.0 to 13.8)
65+ years, HI ,"223,178","18,323 (17,750 to 18,994)",18%,8.2 (8.0 to 8.5)
Non-Hispanic white, HI ,"253,910","6,653 (6,435 to 6,909)",6%,2.6 (2.5 to 2.7)
Non-Hispanic black, HI ,"29,691",953 (919 to 994),1%,3.2 (3.1 to 3.3)
Hispanic, HI ,"121,047","1,357 (1,319 to 1,396)",1%,1.1 (1.1 to 1.2)
Asian or other race/ethnicity, HI ,"946,437","94,026 (91,237 to 97,034)",91%,9.9 (9.6 to 10.3)
Total estimated number of persons with LTBI, IA ,"3,032,750","49,744 (48,325 to 51,294)",100%,1.6 (1.6 to 1.7)
With solid organ transplant (SOT), IA ,NA,0,0%,
With HIV coinfection but not SOT, IA ,NA,100 (97 to 103),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, IA ,NA,64 (62 to 67),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", IA ,NA,"1,111 (1,076 to 1,150)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), IA ,NA,"2,539 (2,469 to 2,615)",5%,
None of the below medical risk factors reported, IA ,NA,"45,930 (44,621 to 47,360)",92%,
1–14 years, IA ,"562,247",545 (502 to 593),1%,0.1 (0.1 to 0.1)
15–24 years, IA ,"393,630","3,779 (3,616 to 3,958)",8%,1.0 (0.9 to 1.0)
25–44 years, IA ,"770,561","24,217 (23,604 to 24,863)",49%,3.1 (3.1 to 3.2)
45–64 years, IA ,"821,717","16,351 (15,893 to 16,837)",33%,2.0 (1.9 to 2.0)
65+ years, IA ,"484,595","4,852 (4,709 to 5,043)",10%,1.0 (1.0 to 1.0)
Non-Hispanic white, IA ,"2,676,252","23,133 (22,443 to 23,907)",47%,0.9 (0.8 to 0.9)
Non-Hispanic black, IA ,"90,433","5,289 (5,137 to 5,455)",11%,5.8 (5.7 to 6.0)
Hispanic, IA ,"152,796","6,378 (6,205 to 6,562)",13%,4.2 (4.1 to 4.3)
Asian or other race/ethnicity, IA ,"113,269","14,944 (14,539 to 15,370)",30%,13.2 (12.8 to 13.6)
Total estimated number of persons with LTBI, ID ,"1,590,141","10,863 (10,492 to 11,275)",100%,0.7 (0.7 to 0.7)
With solid organ transplant (SOT), ID ,NA,0,0%,
With HIV coinfection but not SOT, ID ,NA,28 (27 to 29),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, ID ,NA,24 (24 to 25),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", ID ,NA,0,0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), ID ,NA,678 (659 to 701),6%,
None of the below medical risk factors reported, ID ,NA,"10,133 (9,783 to 10,521)",93%,
1–14 years, ID ,"330,753","1,103 (1,011 to 1,201)",10%,0.3 (0.3 to 0.4)
15–24 years, ID ,"258,136",925 (886 to 969),9%,0.4 (0.3 to 0.4)
25–44 years, ID ,"378,948","3,658 (3,566 to 3,756)",34%,1.0 (0.9 to 1.0)
45–64 years, ID ,"412,101","3,100 (3,014 to 3,190)",29%,0.8 (0.7 to 0.8)
65+ years, ID ,"210,203","2,076 (2,016 to 2,159)",19%,1.0 (1.0 to 1.0)
Non-Hispanic white, ID ,"1,306,131","3,539 (3,416 to 3,680)",33%,0.3 (0.3 to 0.3)
Non-Hispanic black, ID ,"13,245","1,056 (1,022 to 1,095)",10%,8.0 (7.7 to 8.3)
Hispanic, ID ,"201,685","4,275 (4,128 to 4,433)",39%,2.1 (2.0 to 2.2)
Asian or other race/ethnicity, ID ,"69,079","1,994 (1,926 to 2,067)",18%,2.9 (2.8 to 3.0)
Total estimated number of persons with LTBI, IL ,"12,624,271","305,800 (296,687 to 315,832)",100%,2.4 (2.4 to 2.5)
With solid organ transplant (SOT), IL ,NA,77 (75 to 79),0%,
With HIV coinfection but not SOT, IL ,NA,864 (837 to 893),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, IL ,NA,698 (677 to 721),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", IL ,NA,"4,102 (3,980 to 4,236)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), IL ,NA,"26,253 (25,482 to 27,090)",9%,
None of the below medical risk factors reported, IL ,NA,"273,806 (265,636 to 282,812)",90%,
1–14 years, IL ,"2,299,087","4,520 (4,141 to 4,919)",1%,0.2 (0.2 to 0.2)
15–24 years, IL ,"1,688,942","20,614 (19,658 to 21,678)",7%,1.2 (1.2 to 1.3)
25–44 years, IL ,"3,450,222","102,683 (99,959 to 105,567)",34%,3.0 (2.9 to 3.1)
45–64 years, IL ,"3,299,125","125,233 (121,774 to 128,896)",41%,3.8 (3.7 to 3.9)
65+ years, IL ,"1,886,895","52,750 (51,156 to 54,771)",17%,2.8 (2.7 to 2.9)
Non-Hispanic white, IL ,"8,139,013","94,478 (91,628 to 97,655)",31%,1.2 (1.1 to 1.2)
Non-Hispanic black, IL ,"1,643,545","56,693 (54,829 to 58,929)",19%,3.4 (3.3 to 3.6)
Hispanic, IL ,"1,988,409","76,965 (74,772 to 79,274)",25%,3.9 (3.8 to 4.0)
Asian or other race/ethnicity, IL ,"853,306","77,665 (75,458 to 79,974)",25%,9.1 (8.8 to 9.4)
Total estimated number of persons with LTBI, IN ,"6,367,165","105,440 (102,278 to 109,014)",100%,1.7 (1.6 to 1.7)
With solid organ transplant (SOT), IN ,NA,28 (27 to 29),0%,
With HIV coinfection but not SOT, IN ,NA,262 (254 to 270),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, IN ,NA,192 (187 to 199),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", IN ,NA,"1,714 (1,659 to 1,779)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), IN ,NA,"7,883 (7,649 to 8,151)",7%,
None of the below medical risk factors reported, IN ,NA,"95,361 (92,502 to 98,586)",90%,
1–14 years, IN ,"1,211,725","1,492 (1,368 to 1,624)",1%,0.1 (0.1 to 0.1)
15–24 years, IN ,"864,775","9,737 (9,318 to 10,199)",9%,1.1 (1.1 to 1.2)
25–44 years, IN ,"1,692,446","41,325 (40,214 to 42,503)",39%,2.4 (2.4 to 2.5)
45–64 years, IN ,"1,624,909","34,547 (33,561 to 35,593)",33%,2.1 (2.1 to 2.2)
