coreproject,pmid,applid,title,journal,year,doi,pmc,grants,authors,citation
R01CA199044,33273541,10998122,A residual dense network assisted sparse view reconstruction for breast computed tomography.,Sci Rep,2020,10.1038/s41598-020-77923-0,7713379,[],"['Fu Z', 'Tseng HW', 'Vedantham S', 'Karellas A', 'Bilgin A']","Fu Z, et al. A residual dense network assisted sparse view reconstruction for breast computed tomography. A residual dense network assisted sparse view reconstruction for breast computed tomography. 2020; 10:21111. doi: 10.1038/s41598-020-77923-0"
R01CA199044,29159941,10998122,The role of off-focus radiation in scatter correction for dedicated cone beam breast CT.,Med Phys,2018,10.1002/mp.12686,5985236,[],"['Shi L', 'Vedantham S', 'Karellas A', 'Zhu L']","Shi L, et al. The role of off-focus radiation in scatter correction for dedicated cone beam breast CT. The role of off-focus radiation in scatter correction for dedicated cone beam breast CT. 2018; 45:191-201. doi: 10.1002/mp.12686"
R01CA199044,35316793,10998122,Cone-beam breast CT using an offset detector: effect of detector offset and image reconstruction algorithm.,Phys Med Biol,2022,10.1088/1361-6560/ac5fe1,9045275,[],"['Tseng HW', 'Karellas A', 'Vedantham S']","Tseng HW, et al. Cone-beam breast CT using an offset detector: effect of detector offset and image reconstruction algorithm. Cone-beam breast CT using an offset detector: effect of detector offset and image reconstruction algorithm. 2022; 67:(unknown pages). doi: 10.1088/1361-6560/ac5fe1"
R01ES035504,25560674,10877363,Predicting chemically-induced skin reactions. Part I: QSAR models of skin sensitization and their application to identify potentially hazardous compounds.,Toxicol Appl Pharmacol,2015,10.1016/j.taap.2014.12.014,4546933,[],"['Alves VM', 'Muratov E', 'Fourches D', 'Strickland J', 'Kleinstreuer N', 'Andrade CH', 'Tropsha A']","Alves VM, et al. Predicting chemically-induced skin reactions. Part I: QSAR models of skin sensitization and their application to identify potentially hazardous compounds. Predicting chemically-induced skin reactions. Part I: QSAR models of skin sensitization and their application to identify potentially hazardous compounds. 2015; 284:262-72. doi: 10.1016/j.taap.2014.12.014"
R01CA275015,38530135,10885188,Lung CT harmonization of paired reconstruction kernel images using generative adversarial networks.,Med Phys,2024,10.1002/mp.17028,11321937,[],"['Krishnan AR', 'Xu K', 'Li TZ', 'Remedios LW', 'Sandler KL', 'Maldonado F', 'Landman BA']","Krishnan AR, et al. Lung CT harmonization of paired reconstruction kernel images using generative adversarial networks. Lung CT harmonization of paired reconstruction kernel images using generative adversarial networks. 2024; 51:5510-5523. doi: 10.1002/mp.17028"
R56AI187162,39773847,11118330,Role of follicular homing natural killer cells in HIV infection.,Curr Opin HIV AIDS,2025,10.1097/COH.0000000000000916,11802284,[],"['Ponnan SM', 'Govindaraj S', 'Velu V']","Ponnan SM, et al. Role of follicular homing natural killer cells in HIV infection. Role of follicular homing natural killer cells in HIV infection. 2025; 20:154-158. doi: 10.1097/COH.0000000000000916"
R01CA276525,39276774,11062923,Intercellular nanotube-mediated mitochondrial transfer enhances T cell metabolic fitness and antitumor efficacy.,Cell,2024,10.1016/j.cell.2024.08.029,11623344,[],"['Baldwin JG', 'Heuser-Loy C', 'Saha T', 'Schelker RC', 'Slavkovic-Lukic D', 'Strieder N', 'Hernandez-Lopez I', 'Rana N', 'Barden M', 'Mastrogiovanni F', 'Martín-Santos A', 'Raimondi A', 'Brohawn P', 'Higgs BW', 'Gebhard C', 'Kapoor V', 'Telford WG', 'Gautam S', 'Xydia M', 'Beckhove P', 'Frischholz S', 'Schober K', 'Kontarakis Z', 'Corn JE', 'Iannacone M', 'Inverso D', 'Rehli M', 'Fioravanti J', 'Sengupta S', 'Gattinoni L']","Baldwin JG, et al. Intercellular nanotube-mediated mitochondrial transfer enhances T cell metabolic fitness and antitumor efficacy. Intercellular nanotube-mediated mitochondrial transfer enhances T cell metabolic fitness and antitumor efficacy. 2024; 187:6614-6630.e21. doi: 10.1016/j.cell.2024.08.029"
R01CA286120,38706638,10981894,Assessment of Volumetric Dense Tissue Segmentation in Tomosynthesis Using Deep Virtual Clinical Trials.,Pattern Recognit,2024,10.1016/j.patcog.2024.110494,11065113,[],"['Barufaldi B', 'Gomes JV', 'Filho TS', 'do Rêgo TG', 'Malheiros Y', 'Vent TL', 'Gastounioti A', 'Maidment A']","Barufaldi B, et al. Assessment of Volumetric Dense Tissue Segmentation in Tomosynthesis Using Deep Virtual Clinical Trials. Assessment of Volumetric Dense Tissue Segmentation in Tomosynthesis Using Deep Virtual Clinical Trials. 2024; 153:(unknown pages). doi: 10.1016/j.patcog.2024.110494"
R01EY029023,31868851,11050128,Application of Corneal Optical Coherence Tomography Angiography for Assessment of Vessel Depth in Corneal Neovascularization.,Cornea,2020,10.1097/ICO.0000000000002232,7179392,[],"['Nanji A', 'Redd T', 'Chamberlain W', 'Schallhorn JM', 'Chen S', 'Ploner S', 'Maier A', 'Fujimoto JG', 'Jia Y', 'Huang D', 'Li Y']","Nanji A, et al. Application of Corneal Optical Coherence Tomography Angiography for Assessment of Vessel Depth in Corneal Neovascularization. Application of Corneal Optical Coherence Tomography Angiography for Assessment of Vessel Depth in Corneal Neovascularization. 2020; 39:598-604. doi: 10.1097/ICO.0000000000002232"
R01CA248323,33536314,11133363,Mapping proteolytic neo-N termini at the surface of living cells.,Proc Natl Acad Sci U S A,2021,10.1073/pnas.2018809118,7923363,[],"['Weeks AM', 'Byrnes JR', 'Lui I', 'Wells JA']","Weeks AM, et al. Mapping proteolytic neo-N termini at the surface of living cells. Mapping proteolytic neo-N termini at the surface of living cells. 2021; 118:(unknown pages). doi: 10.1073/pnas.2018809118"
U01AI125051,38367616,11087744,Selection of epigenetically privileged HIV-1 proviruses during treatment with panobinostat and interferon-α2a.,Cell,2024,10.1016/j.cell.2024.01.037,10903630,[],"['Armani-Tourret M', 'Gao C', 'Hartana CA', 'Sun W', 'Carrere L', 'Vela L', 'Hochroth A', 'Bellefroid M', 'Sbrolla A', 'Shea K', 'Flynn T', 'Roseto I', 'Rassadkina Y', 'Lee C', 'Giguel F', 'Malhotra R', 'Bushman FD', 'Gandhi RT', 'Yu XG', 'Kuritzkes DR', 'Lichterfeld M']","Armani-Tourret M, et al. Selection of epigenetically privileged HIV-1 proviruses during treatment with panobinostat and interferon-α2a. Selection of epigenetically privileged HIV-1 proviruses during treatment with panobinostat and interferon-α2a. 2024; 187:1238-1254.e14. doi: 10.1016/j.cell.2024.01.037"
R01DC016834,31091111,11048686,Variations Within Normal Hearing Acuity and Speech Comprehension: An Exploratory Study.,Am J Audiol,2019,10.1044/2019_AJA-18-0173,6802869,[],"['Ayasse ND', 'Penn LR', 'Wingfield A']","Ayasse ND, et al. Variations Within Normal Hearing Acuity and Speech Comprehension: An Exploratory Study. Variations Within Normal Hearing Acuity and Speech Comprehension: An Exploratory Study. 2019; 28:369-375. doi: 10.1044/2019_AJA-18-0173"
R01DC016834,36908889,11048686,Hemispheric dissociations in regions supporting auditory sentence comprehension in older adults.,Aging Brain,2022,10.1016/j.nbas.2022.100051,9997128,[],"['Lee YS', 'Rogers CS', 'Grossman M', 'Wingfield A', 'Peelle JE']","Lee YS, et al. Hemispheric dissociations in regions supporting auditory sentence comprehension in older adults. Hemispheric dissociations in regions supporting auditory sentence comprehension in older adults. 2022; 2:100051. doi: 10.1016/j.nbas.2022.100051"
R01NS102917,29203409,10883380,Nanoelectronics enabled chronic multimodal neural platform in a mouse ischemic model.,J Neurosci Methods,2018,10.1016/j.jneumeth.2017.12.001,5801157,[],"['Luan L', 'Sullender CT', 'Li X', 'Zhao Z', 'Zhu H', 'Wei X', 'Xie C', 'Dunn AK']","Luan L, et al. Nanoelectronics enabled chronic multimodal neural platform in a mouse ischemic model. Nanoelectronics enabled chronic multimodal neural platform in a mouse ischemic model. 2018; 295:68-76. doi: 10.1016/j.jneumeth.2017.12.001"
R01NS102917,32494746,10883380,Multimodal mapping of neural activity and cerebral blood flow reveals long-lasting neurovascular dissociations after small-scale strokes.,Sci Adv,2020,10.1126/sciadv.aba1933,7244270,[],"['He F', 'Sullender CT', 'Zhu H', 'Williamson MR', 'Li X', 'Zhao Z', 'Jones TA', 'Xie C', 'Dunn AK', 'Luan L']","He F, et al. Multimodal mapping of neural activity and cerebral blood flow reveals long-lasting neurovascular dissociations after small-scale strokes. Multimodal mapping of neural activity and cerebral blood flow reveals long-lasting neurovascular dissociations after small-scale strokes. 2020; 6:eaba1933. doi: 10.1126/sciadv.aba1933"
R01NS105691,34690420,11055066,Recent advances in neural interfaces-Materials chemistry to clinical translation.,MRS Bull,2020,10.1557/mrs.2020.195,8536148,[],"['Bettinger CJ', 'Ecker M', 'Kozai TDY', 'Malliaras GG', 'Meng E', 'Voit W']","Bettinger CJ, et al. Recent advances in neural interfaces-Materials chemistry to clinical translation. Recent advances in neural interfaces-Materials chemistry to clinical translation. 2020; 45:655-668. doi: 10.1557/mrs.2020.195"
R01AI183314,39688412,11125744,Interactions of the emerging fungus Candida auris with Acanthamoeba castellanii reveal phenotypic changes with direct implications on the response to stress and virulence.,Microbiol Spectr,2025,10.1128/spectrum.01746-24,11792492,[],"['Valente MR', 'Martins Alcântara L', 'Cintra DS', 'Mendoza SR', 'Medeiros EG', 'Gomes KX', 'Honorato L', 'Almeida MdA', 'Vieira CB', 'Nosanchuk JD', 'Sgarbi DBdG', 'Pinto MR', 'Nimrichter L', 'Guimarães AJ']","Valente MR, et al. Interactions of the emerging fungus Candida auris with Acanthamoeba castellanii reveal phenotypic changes with direct implications on the response to stress and virulence. Interactions of the emerging fungus Candida auris with Acanthamoeba castellanii reveal phenotypic changes with direct implications on the response to stress and virulence. 2025; 13:e0174624. doi: 10.1128/spectrum.01746-24"
R01AI183314,39370781,11125744,Alkaloids solenopsins from fire ants display in vitro and in vivo activity against the yeast Candida auris.,Virulence,2024,10.1080/21505594.2024.2413329,11469440,[],"['Honorato L', 'Artunduaga Bonilla JJ', 'Ribeiro da Silva L', 'Kornetz J', 'Zamith-Miranda D', 'Valdez AF', 'Nosanchuk JD', 'Gonçalves Paterson Fox E', 'Nimrichter L']","Honorato L, et al. Alkaloids solenopsins from fire ants display in vitro and in vivo activity against the yeast Candida auris. Alkaloids solenopsins from fire ants display in vitro and in vivo activity against the yeast Candida auris. 2024; 15:2413329. doi: 10.1080/21505594.2024.2413329"
R01CA282022,39417716,10884411,N-Linked Fucosylated Glycans Are Biomarkers for Prostate Cancer with a Neuroendocrine and Metastatic Phenotype.,Mol Cancer Res,2025,10.1158/1541-7786.MCR-24-0660,11694069,[],"['Ippolito JE', 'Hartig JP', 'Bejar K', 'Nakhoul H', 'Sehn JK', 'Weimholt C', 'Grimsley G', 'Nunez E', 'Trikalinos NA', 'Chatterjee D', 'Kim EH', 'Mehta AS', 'Angel PM', 'Troyer DA', 'Leach RJ', 'Corey E', 'Wu JD', 'Drake RR']","Ippolito JE, et al. N-Linked Fucosylated Glycans Are Biomarkers for Prostate Cancer with a Neuroendocrine and Metastatic Phenotype. N-Linked Fucosylated Glycans Are Biomarkers for Prostate Cancer with a Neuroendocrine and Metastatic Phenotype. 2025; 23:59-70. doi: 10.1158/1541-7786.MCR-24-0660"
U01AI125051,28366768,11087744,Evolving Gene Therapy in Primary Immunodeficiency.,Mol Ther,2017,10.1016/j.ymthe.2017.03.018,5417846,[],"['Thrasher AJ', 'Williams DA']",Thrasher AJ and Williams DA. Evolving Gene Therapy in Primary Immunodeficiency. Evolving Gene Therapy in Primary Immunodeficiency. 2017; 25:1132-1141. doi: 10.1016/j.ymthe.2017.03.018
R01CA283826,39905264,11055342,Implantation of engineered adipocytes suppresses tumor progression in cancer models.,Nat Biotechnol,2025,10.1038/s41587-024-02551-2,,[],"['Nguyen HP', 'An K', 'Ito Y', 'Kharbikar BN', 'Sheng R', 'Paredes B', 'Murray E', 'Pham K', 'Bruck M', 'Zhou X', 'Biellak C', 'Ushiki A', 'Nobuhara M', 'Fong SL', 'Bernards DA', 'Lynce F', 'Dillon DA', 'Magbanua MJM', 'Huppert LA', 'Hammerlindl H', 'Klein JA', 'Valdiviez L', 'Fiehn O', 'Esserman L', 'Desai TA', 'Yee SW', 'Rosenbluth JM', 'Ahituv N']","Nguyen HP, et al. Implantation of engineered adipocytes suppresses tumor progression in cancer models. Implantation of engineered adipocytes suppresses tumor progression in cancer models. 2025; (unknown volume):(unknown pages). doi: 10.1038/s41587-024-02551-2"
R01CA286120,39652797,10981894,Volumetric Breast Density Estimation From Three-Dimensional Reconstructed Digital Breast Tomosynthesis Images Using Deep Learning.,JCO Clin Cancer Inform,2024,10.1200/CCI.24.00103,11643139,[],"['Ahluwalia VS', 'Doiphode N', 'Mankowski WC', 'Cohen EA', 'Pati S', 'Pantalone L', 'Bakas S', 'Brooks A', 'Vachon CM', 'Conant EF', 'Gastounioti A', 'Kontos D']","Ahluwalia VS, et al. Volumetric Breast Density Estimation From Three-Dimensional Reconstructed Digital Breast Tomosynthesis Images Using Deep Learning. Volumetric Breast Density Estimation From Three-Dimensional Reconstructed Digital Breast Tomosynthesis Images Using Deep Learning. 2024; 8:e2400103. doi: 10.1200/CCI.24.00103"
R01AI186809,39373535,11009423,CD4 downregulation precedes Env expression and protects HIV-1-infected cells from ADCC mediated by non-neutralizing antibodies.,mBio,2024,10.1128/mbio.01827-24,11559134,[],"['Richard J', 'Sannier G', 'Zhu L', 'Prévost J', 'Marchitto L', 'Benlarbi M', 'Beaudoin-Bussières G', 'Kim H', 'Sun Y', 'Chatterjee D', 'Medjahed H', 'Bourassa C', 'Delgado G-G', 'Dubé M', 'Kirchhoff F', 'Hahn BH', 'Kumar P', 'Kaufmann DE', 'Finzi A']","Richard J, et al. CD4 downregulation precedes Env expression and protects HIV-1-infected cells from ADCC mediated by non-neutralizing antibodies. CD4 downregulation precedes Env expression and protects HIV-1-infected cells from ADCC mediated by non-neutralizing antibodies. 2024; 15:e0182724. doi: 10.1128/mbio.01827-24"
R01CA248323,36454758,11133363,MEK inhibition enhances presentation of targetable MHC-I tumor antigens in mutant melanomas.,Proc Natl Acad Sci U S A,2022,10.1073/pnas.2208900119,9894220,[],"['Stopfer LE', 'Rettko NJ', 'Leddy O', 'Mesfin JM', 'Brown E', 'Winski S', 'Bryson B', 'Wells JA', 'White FM']","Stopfer LE, et al. MEK inhibition enhances presentation of targetable MHC-I tumor antigens in mutant melanomas. MEK inhibition enhances presentation of targetable MHC-I tumor antigens in mutant melanomas. 2022; 119:e2208900119. doi: 10.1073/pnas.2208900119"
U01AI125051,37478401,11087744,Outcomes of hematopoietic stem cell gene therapy for Wiskott-Aldrich syndrome.,Blood,2023,10.1182/blood.2022019117,10731922,[],"['Labrosse R', 'Chu JI', 'Armant MA', 'Everett JK', 'Pellin D', 'Kareddy N', 'Frelinger AL', 'Henderson LA', ""O'Connell AE"", 'Biswas A', 'Coenen-van der Spek J', 'Miggelbrink A', 'Fiorini C', 'Adhikari H', 'Berry CC', 'Cantu VA', 'Fong J', 'Jaroslavsky J', 'Karadeniz DF', 'Li QZ', 'Reddy S', 'Roche AM', 'Zhu C', 'Whangbo JS', 'Dansereau C', 'Mackinnon B', 'Morris E', 'Koo SM', 'London WB', 'Baris S', 'Ozen A', 'Karakoc-Aydiner E', 'Despotovic JM', 'Forbes Satter LR', 'Saitoh A', 'Aizawa Y', 'King A', 'Nguyen MAT', 'Vu VDU', 'Snapper SB', 'Galy A', 'Notarangelo LD', 'Bushman FD', 'Williams DA', 'Pai SY']","Labrosse R, et al. Outcomes of hematopoietic stem cell gene therapy for Wiskott-Aldrich syndrome. Outcomes of hematopoietic stem cell gene therapy for Wiskott-Aldrich syndrome. 2023; 142:1281-1296. doi: 10.1182/blood.2022019117"
R01NS105691,37244370,11055066,Dynamic amplitude modulation of microstimulation evokes biomimetic onset and offset transients and reduces depression of evoked calcium responses in sensory cortices.,Brain Stimul,2023,10.1016/j.brs.2023.05.013,10330928,[],"['Hughes C', 'Kozai T']",Hughes C and Kozai T. Dynamic amplitude modulation of microstimulation evokes biomimetic onset and offset transients and reduces depression of evoked calcium responses in sensory cortices. Dynamic amplitude modulation of microstimulation evokes biomimetic onset and offset transients and reduces depression of evoked calcium responses in sensory cortices. 2023; 16:939-965. doi: 10.1016/j.brs.2023.05.013
R01CA282022,39347566,10884411,Determining the N-Glycan and Collagen/Extracellular Matrix Protein Compositions in a Novel Outcome Cohort of Prostate Cancer Tissue Microarrays Using MALDI-MSI.,Cancer Res Commun,2024,10.1158/2767-9764.CRC-24-0152,11600299,[],"['Hartig JP', 'Bejar K', 'Young LEA', 'Grimsley G', 'Bethard JR', 'Troyer DA', 'Hernandez J', 'Wu JD', 'Ippolito JE', 'Ball LE', 'Gelfond JAL', 'Johnson-Pais TL', 'Mehta AS', 'Leach RJ', 'Angel PM', 'Drake RR']","Hartig JP, et al. Determining the N-Glycan and Collagen/Extracellular Matrix Protein Compositions in a Novel Outcome Cohort of Prostate Cancer Tissue Microarrays Using MALDI-MSI. Determining the N-Glycan and Collagen/Extracellular Matrix Protein Compositions in a Novel Outcome Cohort of Prostate Cancer Tissue Microarrays Using MALDI-MSI. 2024; 4:3036-3048. doi: 10.1158/2767-9764.CRC-24-0152"
R01CA199044,27916595,10998122,The Relevance of Ultrasound Imaging of Suspicious Axillary Lymph Nodes and Fine-needle Aspiration Biopsy in the Post-ACOSOG Z11 Era in Early Breast Cancer.,Acad Radiol,2017,10.1016/j.acra.2016.10.005,5309157,[],"['Vijayaraghavan GR', 'Vedantham S', 'Kataoka M', 'DeBenedectis C', 'Quinlan RM']","Vijayaraghavan GR, et al. The Relevance of Ultrasound Imaging of Suspicious Axillary Lymph Nodes and Fine-needle Aspiration Biopsy in the Post-ACOSOG Z11 Era in Early Breast Cancer. The Relevance of Ultrasound Imaging of Suspicious Axillary Lymph Nodes and Fine-needle Aspiration Biopsy in the Post-ACOSOG Z11 Era in Early Breast Cancer. 2017; 24:308-315. doi: 10.1016/j.acra.2016.10.005"
R01CA199044,31819830,10998122,Positive Predictive Value of Tomosynthesis-guided Biopsies of Architectural Distortions Seen on Digital Breast Tomosynthesis and without an Ultrasound Correlate.,J Clin Imaging Sci,2019,10.25259/JCIS_134_2019,6884982,[],"['Vijayaraghavan GR', 'Newburg A', 'Vedantham S']","Vijayaraghavan GR, et al. Positive Predictive Value of Tomosynthesis-guided Biopsies of Architectural Distortions Seen on Digital Breast Tomosynthesis and without an Ultrasound Correlate. Positive Predictive Value of Tomosynthesis-guided Biopsies of Architectural Distortions Seen on Digital Breast Tomosynthesis and without an Ultrasound Correlate. 2019; 9:53. doi: 10.25259/JCIS_134_2019"
R01CA199044,35392255,10998122,Value of BI-RADS 3 Audits.,Biomed J Sci Tech Res,2022,10.26717/BJSTR.2022.41.006668,8983005,[],"['Roychowdhury P', 'Vijayaraghavan GR', 'Roubil J', 'Williams IM', 'Siddiqui E', 'Vedantham S']","Roychowdhury P, et al. Value of BI-RADS 3 Audits. Value of BI-RADS 3 Audits. 2022; 41:33086-33092. doi: 10.26717/BJSTR.2022.41.006668"
R01CA199044,34513212,10998122,Ultrasound Imaging Morphology is Associated with Biological Behavior in Invasive Ductal Carcinoma of the Breast.,J Clin Imaging Sci,2021,10.25259/JCIS_60_2021,8422408,[],"['Vijayaraghavan GR', 'Kona M', 'Maheswaran A', 'Kandil DH', 'Toke MK', 'Vedantham S']","Vijayaraghavan GR, et al. Ultrasound Imaging Morphology is Associated with Biological Behavior in Invasive Ductal Carcinoma of the Breast. Ultrasound Imaging Morphology is Associated with Biological Behavior in Invasive Ductal Carcinoma of the Breast. 2021; 11:48. doi: 10.25259/JCIS_60_2021"
